Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:14.713000,RAI,7,0 days 00:01:43.097000,1.0,1.0,,,,0 days 00:00:43.863000,0 days 00:00:24.353000,,0 days 00:34:50.372000,0 days 00:35:14.836000,225.0,246.0,278.0,242.0,False,SOFT,4.0,False,Alfa Romeo Racing,0 days 00:33:31.386000,2019-03-31 15:13:31.471,12,8.0,False,,False,False
0 days 00:36:53.505000,RAI,7,0 days 00:01:38.792000,2.0,1.0,,,0 days 00:00:31.277000,0 days 00:00:43.033000,0 days 00:00:24.482000,0 days 00:35:45.989000,0 days 00:36:29.022000,0 days 00:36:53.504000,236.0,252.0,279.0,309.0,True,SOFT,5.0,False,Alfa Romeo Racing,0 days 00:35:14.713000,2019-03-31 15:15:14.798,21,8.0,False,,False,True
0 days 00:38:32.387000,RAI,7,0 days 00:01:38.882000,3.0,1.0,,,0 days 00:00:31.039000,0 days 00:00:43.241000,0 days 00:00:24.602000,0 days 00:37:24.543000,0 days 00:38:07.784000,0 days 00:38:32.386000,237.0,249.0,287.0,279.0,False,SOFT,6.0,False,Alfa Romeo Racing,0 days 00:36:53.505000,2019-03-31 15:16:53.590,1,8.0,False,,False,True
0 days 00:40:12.605000,RAI,7,0 days 00:01:40.218000,4.0,1.0,,,0 days 00:00:30.916000,0 days 00:00:44.568000,0 days 00:00:24.734000,0 days 00:39:03.302000,0 days 00:39:47.870000,0 days 00:40:12.604000,216.0,248.0,286.0,325.0,False,SOFT,7.0,False,Alfa Romeo Racing,0 days 00:38:32.387000,2019-03-31 15:18:32.472,12,8.0,False,,False,True
0 days 00:41:51.065000,RAI,7,0 days 00:01:38.460000,5.0,1.0,,,0 days 00:00:30.619000,0 days 00:00:43.400000,0 days 00:00:24.441000,0 days 00:40:43.223000,0 days 00:41:26.623000,0 days 00:41:51.064000,236.0,244.0,288.0,317.0,True,SOFT,8.0,False,Alfa Romeo Racing,0 days 00:40:12.605000,2019-03-31 15:20:12.690,1,8.0,False,,False,True
0 days 00:43:30.470000,RAI,7,0 days 00:01:39.405000,6.0,1.0,,,0 days 00:00:31.006000,0 days 00:00:44.092000,0 days 00:00:24.307000,0 days 00:42:22.070000,0 days 00:43:06.162000,0 days 00:43:30.469000,234.0,251.0,278.0,320.0,False,SOFT,9.0,False,Alfa Romeo Racing,0 days 00:41:51.065000,2019-03-31 15:21:51.150,12,7.0,False,,False,True
0 days 00:45:08.713000,RAI,7,0 days 00:01:38.243000,7.0,1.0,,,0 days 00:00:31.088000,0 days 00:00:42.952000,0 days 00:00:24.203000,0 days 00:44:01.557000,0 days 00:44:44.509000,0 days 00:45:08.712000,233.0,249.0,278.0,305.0,True,SOFT,10.0,False,Alfa Romeo Racing,0 days 00:43:30.470000,2019-03-31 15:23:30.555,1,7.0,False,,False,True
0 days 00:46:47.023000,RAI,7,0 days 00:01:38.310000,8.0,1.0,,,0 days 00:00:31.019000,0 days 00:00:43.033000,0 days 00:00:24.258000,0 days 00:45:39.731000,0 days 00:46:22.764000,0 days 00:46:47.022000,234.0,250.0,278.0,297.0,False,SOFT,11.0,False,Alfa Romeo Racing,0 days 00:45:08.713000,2019-03-31 15:25:08.798,1,7.0,False,,False,True
0 days 00:48:27.719000,RAI,7,0 days 00:01:40.696000,9.0,1.0,,0 days 00:48:26.121000,0 days 00:00:31.016000,0 days 00:00:42.897000,0 days 00:00:26.783000,0 days 00:47:18.038000,0 days 00:48:00.935000,0 days 00:48:27.718000,235.0,252.0,,299.0,False,SOFT,12.0,False,Alfa Romeo Racing,0 days 00:46:47.023000,2019-03-31 15:26:47.108,1,8.0,False,,False,False
0 days 00:50:25.127000,RAI,7,0 days 00:01:57.408000,10.0,2.0,0 days 00:48:51.645000,,0 days 00:00:52.112000,0 days 00:00:41.573000,0 days 00:00:23.723000,0 days 00:49:19.830000,0 days 00:50:01.403000,0 days 00:50:25.126000,237.0,252.0,279.0,221.0,False,MEDIUM,1.0,True,Alfa Romeo Racing,0 days 00:48:27.719000,2019-03-31 15:28:27.804,1,14.0,False,,False,False
0 days 00:52:01.379000,RAI,7,0 days 00:01:36.252000,11.0,2.0,,,0 days 00:00:30.344000,0 days 00:00:42.259000,0 days 00:00:23.649000,0 days 00:50:55.470000,0 days 00:51:37.729000,0 days 00:52:01.378000,236.0,254.0,278.0,304.0,True,MEDIUM,2.0,True,Alfa Romeo Racing,0 days 00:50:25.127000,2019-03-31 15:30:25.212,1,10.0,False,,False,True
