Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:13.472000,VET,5,0 days 00:01:48.264000,1.0,1.0,,,,0 days 00:00:30.791000,0 days 00:00:43.713000,,0 days 00:34:29.851000,0 days 00:35:13.734000,106.0,276.0,294.0,313.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,7.0,False,,False,False
0 days 00:36:52.826000,VET,5,0 days 00:01:39.354000,2.0,1.0,,,0 days 00:00:25.612000,0 days 00:00:30.302000,0 days 00:00:43.440000,0 days 00:35:39.104000,0 days 00:36:09.406000,0 days 00:36:52.846000,107.0,280.0,292.0,303.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:35:13.472000,2019-06-23 13:15:13.678,1,7.0,False,,False,True
0 days 00:38:31.576000,VET,5,0 days 00:01:38.750000,3.0,1.0,,,0 days 00:00:25.444000,0 days 00:00:29.837000,0 days 00:00:43.469000,0 days 00:37:18.290000,0 days 00:37:48.127000,0 days 00:38:31.596000,112.0,281.0,303.0,323.0,True,MEDIUM,6.0,False,Ferrari,0 days 00:36:52.826000,2019-06-23 13:16:53.032,1,7.0,False,,False,True
0 days 00:40:09.823000,VET,5,0 days 00:01:38.247000,4.0,1.0,,,0 days 00:00:25.381000,0 days 00:00:29.707000,0 days 00:00:43.159000,0 days 00:38:56.977000,0 days 00:39:26.684000,0 days 00:40:09.843000,,281.0,302.0,330.0,True,MEDIUM,7.0,False,Ferrari,0 days 00:38:31.576000,2019-06-23 13:18:31.782,1,7.0,False,,False,True
0 days 00:41:47.286000,VET,5,0 days 00:01:37.463000,5.0,1.0,,,0 days 00:00:25.213000,0 days 00:00:29.553000,0 days 00:00:42.697000,0 days 00:40:35.056000,0 days 00:41:04.609000,0 days 00:41:47.306000,109.0,278.0,288.0,341.0,True,MEDIUM,8.0,False,Ferrari,0 days 00:40:09.823000,2019-06-23 13:20:10.029,1,6.0,False,,False,True
0 days 00:43:24.556000,VET,5,0 days 00:01:37.270000,6.0,1.0,,,0 days 00:00:24.848000,0 days 00:00:29.812000,0 days 00:00:42.610000,0 days 00:42:12.154000,0 days 00:42:41.966000,0 days 00:43:24.576000,110.0,279.0,301.0,303.0,True,MEDIUM,9.0,False,Ferrari,0 days 00:41:47.286000,2019-06-23 13:21:47.492,1,6.0,False,,False,True
0 days 00:45:01.322000,VET,5,0 days 00:01:36.766000,7.0,1.0,,,0 days 00:00:25.057000,0 days 00:00:29.274000,0 days 00:00:42.435000,0 days 00:43:49.633000,0 days 00:44:18.907000,0 days 00:45:01.342000,113.0,276.0,286.0,336.0,True,MEDIUM,10.0,False,Ferrari,0 days 00:43:24.556000,2019-06-23 13:23:24.762,1,5.0,False,,False,True
0 days 00:46:37.475000,VET,5,0 days 00:01:36.153000,8.0,1.0,,,0 days 00:00:24.449000,0 days 00:00:29.537000,0 days 00:00:42.167000,0 days 00:45:25.791000,0 days 00:45:55.328000,0 days 00:46:37.495000,,277.0,285.0,300.0,True,MEDIUM,11.0,False,Ferrari,0 days 00:45:01.322000,2019-06-23 13:25:01.528,1,5.0,False,,False,True
0 days 00:48:13.637000,VET,5,0 days 00:01:36.162000,9.0,1.0,,,0 days 00:00:24.391000,0 days 00:00:29.471000,0 days 00:00:42.300000,0 days 00:47:01.886000,0 days 00:47:31.357000,0 days 00:48:13.657000,116.0,278.0,285.0,300.0,False,MEDIUM,12.0,False,Ferrari,0 days 00:46:37.475000,2019-06-23 13:26:37.681,1,5.0,False,,False,True
0 days 00:49:49.795000,VET,5,0 days 00:01:36.158000,10.0,1.0,,,0 days 00:00:24.375000,0 days 00:00:29.484000,0 days 00:00:42.299000,0 days 00:48:38.032000,0 days 00:49:07.516000,0 days 00:49:49.815000,115.0,278.0,286.0,298.0,False,MEDIUM,13.0,False,Ferrari,0 days 00:48:13.637000,2019-06-23 13:28:13.843,1,5.0,False,,False,True
