Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:42.746000,SAI,55,0 days 00:01:57.901000,1.0,1.0,,,,0 days 00:00:51.528000,0 days 00:00:30.520000,,0 days 01:04:12.363000,0 days 01:04:42.863000,316.0,191.0,211.0,295.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:44.614000,2023-07-30 13:03:45.833,1,6.0,False,,False,False
0 days 01:06:36.993000,SAI,55,0 days 00:01:54.247000,2.0,1.0,,,0 days 00:00:32.321000,0 days 00:00:51.281000,0 days 00:00:30.645000,0 days 01:05:15.109000,0 days 01:06:06.390000,0 days 01:06:37.035000,309.0,188.0,209.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:42.746000,2023-07-30 13:05:43.965,12,5.0,False,,False,True
0 days 01:08:31.711000,SAI,55,0 days 00:01:54.718000,3.0,1.0,,,0 days 00:00:32.395000,0 days 00:00:51.429000,0 days 00:00:30.894000,0 days 01:07:09.430000,0 days 01:08:00.859000,0 days 01:08:31.753000,310.0,183.0,208.0,306.0,False,SOFT,3.0,True,Ferrari,0 days 01:06:36.993000,2023-07-30 13:07:38.212,21,5.0,False,,False,True
0 days 01:10:27.956000,SAI,55,0 days 00:01:56.245000,4.0,1.0,,,0 days 00:00:32.495000,0 days 00:00:52.930000,0 days 00:00:30.820000,0 days 01:09:04.248000,0 days 01:09:57.178000,0 days 01:10:27.998000,,185.0,206.0,307.0,False,SOFT,4.0,True,Ferrari,0 days 01:08:31.711000,2023-07-30 13:09:32.930,1,6.0,False,,False,True
0 days 01:12:24.930000,SAI,55,0 days 00:01:56.974000,5.0,1.0,,,0 days 00:00:32.690000,0 days 00:00:52.750000,0 days 00:00:31.534000,0 days 01:11:00.688000,0 days 01:11:53.438000,0 days 01:12:24.972000,311.0,185.0,208.0,309.0,False,SOFT,5.0,True,Ferrari,0 days 01:10:27.956000,2023-07-30 13:11:29.175,1,8.0,False,,False,True
0 days 01:14:22.190000,SAI,55,0 days 00:01:57.260000,6.0,1.0,,,0 days 00:00:32.488000,0 days 00:00:53.343000,0 days 00:00:31.429000,0 days 01:12:57.460000,0 days 01:13:50.803000,0 days 01:14:22.232000,327.0,181.0,208.0,304.0,False,SOFT,6.0,True,Ferrari,0 days 01:12:24.930000,2023-07-30 13:13:26.149,1,10.0,False,,False,True
0 days 01:16:23.337000,SAI,55,0 days 00:02:01.147000,7.0,1.0,,0 days 01:16:19.636000,0 days 00:00:32.363000,0 days 00:00:52.582000,0 days 00:00:36.202000,0 days 01:14:54.595000,0 days 01:15:47.177000,0 days 01:16:23.379000,333.0,180.0,,305.0,False,SOFT,7.0,True,Ferrari,0 days 01:14:22.190000,2023-07-30 13:15:23.409,1,13.0,False,,False,False
0 days 01:18:30.266000,SAI,55,0 days 00:02:06.929000,8.0,2.0,0 days 01:16:42.871000,,0 days 00:00:46.545000,0 days 00:00:50.217000,0 days 00:00:30.167000,0 days 01:17:09.924000,0 days 01:18:00.141000,0 days 01:18:30.308000,315.0,193.0,211.0,307.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:16:23.337000,2023-07-30 13:17:24.556,1,18.0,False,,False,False
0 days 01:20:23.404000,SAI,55,0 days 00:01:53.138000,9.0,2.0,,,0 days 00:00:32.045000,0 days 00:00:50.712000,0 days 00:00:30.381000,0 days 01:19:02.353000,0 days 01:19:53.065000,0 days 01:20:23.446000,,187.0,211.0,309.0,True,MEDIUM,2.0,True,Ferrari,0 days 01:18:30.266000,2023-07-30 13:19:31.485,1,17.0,False,,False,True
0 days 01:22:17.297000,SAI,55,0 days 00:01:53.893000,10.0,2.0,,,0 days 00:00:31.999000,0 days 00:00:51.417000,0 days 00:00:30.477000,0 days 01:20:55.445000,0 days 01:21:46.862000,0 days 01:22:17.339000,325.0,188.0,209.0,312.0,False,MEDIUM,3.0,True,Ferrari,0 days 01:20:23.404000,2023-07-30 13:21:24.623,1,17.0,True,TRACK LIMITS AT TURN 4 LAP 10 ,False,True
0 days 01:24:12.498000,SAI,55,0 days 00:01:55.201000,11.0,2.0,,,0 days 00:00:32.299000,0 days 00:00:52.154000,0 days 00:00:30.748000,0 days 01:22:49.638000,0 days 01:23:41.792000,0 days 01:24:12.540000,322.0,186.0,209.0,308.0,False,MEDIUM,4.0,True,Ferrari,0 days 01:22:17.297000,2023-07-30 13:23:18.516,1,18.0,False,,False,True
0 days 01:26:07.617000,SAI,55,0 days 00:01:55.119000,12.0,2.0,,,0 days 00:00:32.152000,0 days 00:00:51.801000,0 days 00:00:31.166000,0 days 01:24:44.692000,0 days 01:25:36.493000,0 days 01:26:07.659000,,183.0,209.0,311.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:24:12.498000,2023-07-30 13:25:13.717,1,18.0,False,,False,True
0 days 01:28:02.524000,SAI,55,0 days 00:01:54.907000,13.0,2.0,,,0 days 00:00:32.482000,0 days 00:00:51.647000,0 days 00:00:30.778000,0 days 01:26:40.141000,0 days 01:27:31.788000,0 days 01:28:02.566000,309.0,181.0,207.0,310.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:26:07.617000,2023-07-30 13:27:08.836,1,17.0,False,,False,True
0 days 01:29:57.600000,SAI,55,0 days 00:01:55.076000,14.0,2.0,,,0 days 00:00:32.305000,0 days 00:00:51.728000,0 days 00:00:31.043000,0 days 01:28:34.871000,0 days 01:29:26.599000,0 days 01:29:57.642000,312.0,183.0,207.0,,False,MEDIUM,7.0,True,Ferrari,0 days 01:28:02.524000,2023-07-30 13:29:03.743,1,17.0,False,,False,True
0 days 01:31:53.434000,SAI,55,0 days 00:01:55.834000,15.0,2.0,,,0 days 00:00:32.334000,0 days 00:00:52.276000,0 days 00:00:31.224000,0 days 01:30:29.976000,0 days 01:31:22.252000,0 days 01:31:53.476000,318.0,185.0,205.0,308.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:29:57.600000,2023-07-30 13:30:58.819,1,17.0,False,,False,True
0 days 01:33:50.966000,SAI,55,0 days 00:01:57.532000,16.0,2.0,,,0 days 00:00:32.503000,0 days 00:00:53.784000,0 days 00:00:31.245000,0 days 01:32:25.979000,0 days 01:33:19.763000,0 days 01:33:51.008000,326.0,178.0,206.0,310.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:31:53.434000,2023-07-30 13:32:54.653,1,19.0,False,,False,True
