Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:23:50.651000,LEC,16,0 days 00:01:28.755000,1.0,1.0,,,,0 days 00:00:29.908000,0 days 00:00:28.623000,,0 days 01:23:22.022000,0 days 01:23:50.725000,322.0,306.0,307.0,280.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:22:21.726000,2023-09-03 13:23:22.771,1,4.0,False,,False,False
0 days 01:25:16.963000,LEC,16,0 days 00:01:26.312000,2.0,1.0,,,0 days 00:00:28.155000,0 days 00:00:29.728000,0 days 00:00:28.429000,0 days 01:24:18.800000,0 days 01:24:48.528000,0 days 01:25:16.957000,309.0,307.0,308.0,312.0,True,MEDIUM,2.0,True,Ferrari,0 days 01:23:50.651000,2023-09-03 13:24:51.696,1,3.0,False,,False,True
0 days 01:26:42.682000,LEC,16,0 days 00:01:25.719000,3.0,1.0,,,0 days 00:00:27.933000,0 days 00:00:29.256000,0 days 00:00:28.530000,0 days 01:25:44.890000,0 days 01:26:14.146000,0 days 01:26:42.676000,322.0,326.0,308.0,315.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:25:16.963000,2023-09-03 13:26:18.008,1,3.0,False,,False,True
0 days 01:28:08.707000,LEC,16,0 days 00:01:26.025000,4.0,1.0,,,0 days 00:00:28.073000,0 days 00:00:29.438000,0 days 00:00:28.514000,0 days 01:27:10.749000,0 days 01:27:40.187000,0 days 01:28:08.701000,309.0,323.0,308.0,316.0,False,MEDIUM,4.0,True,Ferrari,0 days 01:26:42.682000,2023-09-03 13:27:43.727,1,3.0,False,,False,True
0 days 01:29:34.973000,LEC,16,0 days 00:01:26.266000,5.0,1.0,,,0 days 00:00:28.042000,0 days 00:00:29.611000,0 days 00:00:28.613000,0 days 01:28:36.743000,0 days 01:29:06.354000,0 days 01:29:34.967000,,322.0,308.0,327.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:28:08.707000,2023-09-03 13:29:09.752,1,3.0,False,,False,True
0 days 01:31:01.456000,LEC,16,0 days 00:01:26.483000,6.0,1.0,,,0 days 00:00:28.204000,0 days 00:00:29.712000,0 days 00:00:28.567000,0 days 01:30:03.171000,0 days 01:30:32.883000,0 days 01:31:01.450000,311.0,324.0,309.0,315.0,False,MEDIUM,6.0,True,Ferrari,0 days 01:29:34.973000,2023-09-03 13:30:36.018,1,3.0,False,,False,True
0 days 01:32:27.929000,LEC,16,0 days 00:01:26.473000,7.0,1.0,,,0 days 00:00:28.130000,0 days 00:00:29.768000,0 days 00:00:28.575000,0 days 01:31:29.580000,0 days 01:31:59.348000,0 days 01:32:27.923000,309.0,323.0,309.0,329.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:31:01.456000,2023-09-03 13:32:02.501,1,3.0,False,,False,True
0 days 01:33:53.901000,LEC,16,0 days 00:01:25.972000,8.0,1.0,,,0 days 00:00:28.002000,0 days 00:00:29.510000,0 days 00:00:28.460000,0 days 01:32:55.925000,0 days 01:33:25.435000,0 days 01:33:53.895000,312.0,324.0,309.0,327.0,False,MEDIUM,8.0,True,Ferrari,0 days 01:32:27.929000,2023-09-03 13:33:28.974,1,3.0,False,,False,True
0 days 01:35:20.579000,LEC,16,0 days 00:01:26.678000,9.0,1.0,,,0 days 00:00:28.037000,0 days 00:00:29.789000,0 days 00:00:28.852000,0 days 01:34:21.932000,0 days 01:34:51.721000,0 days 01:35:20.573000,311.0,324.0,307.0,330.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:33:53.901000,2023-09-03 13:34:54.946,1,3.0,False,,False,True
0 days 01:36:47.366000,LEC,16,0 days 00:01:26.787000,10.0,1.0,,,0 days 00:00:28.308000,0 days 00:00:29.817000,0 days 00:00:28.662000,0 days 01:35:48.881000,0 days 01:36:18.698000,0 days 01:36:47.360000,310.0,323.0,308.0,326.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:35:20.579000,2023-09-03 13:36:21.624,1,3.0,False,,False,True
