Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:28.811000,HAM,44,0 days 00:01:25.806000,1.0,1.0,,,,0 days 00:00:32.547000,0 days 00:00:26.867000,,0 days 00:34:01.999000,0 days 00:34:28.993000,272.0,163.0,292.0,237.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:33:02.841000,2021-05-02 14:03:02.851,1,2.0,False,,False,False
0 days 00:36:17.018000,HAM,44,0 days 00:01:48.207000,2.0,1.0,,0 days 00:36:13.985000,0 days 00:00:24.817000,0 days 00:00:42.433000,0 days 00:00:40.957000,0 days 00:34:53.628000,0 days 00:35:36.061000,0 days 00:36:17.018000,273.0,151.0,,282.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:34:28.811000,2021-05-02 14:04:28.821,14,2.0,False,,False,False
0 days 00:38:39.642000,HAM,44,0 days 00:02:22.624000,3.0,2.0,0 days 00:36:36.400000,0 days 00:38:36.661000,0 days 00:00:51.248000,0 days 00:00:45.116000,0 days 00:00:46.260000,0 days 00:37:08.266000,0 days 00:37:53.382000,0 days 00:38:39.642000,231.0,104.0,,,False,MEDIUM,7.0,False,Mercedes,0 days 00:36:17.018000,2021-05-02 14:06:17.028,4,2.0,False,,False,False
0 days 00:40:54.867000,HAM,44,0 days 00:02:15.225000,4.0,3.0,0 days 00:38:58.790000,,0 days 00:00:49.652000,0 days 00:00:44.450000,0 days 00:00:41.123000,0 days 00:39:29.294000,0 days 00:40:13.744000,0 days 00:40:54.867000,217.0,169.0,232.0,,False,MEDIUM,8.0,False,Mercedes,0 days 00:38:39.642000,2021-05-02 14:08:39.652,4,2.0,False,,False,False
0 days 00:42:55.577000,HAM,44,0 days 00:02:00.710000,5.0,3.0,,,0 days 00:00:35.643000,0 days 00:00:44.523000,0 days 00:00:40.544000,0 days 00:41:30.510000,0 days 00:42:15.033000,0 days 00:42:55.577000,195.0,144.0,205.0,145.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:40:54.867000,2021-05-02 14:10:54.877,4,2.0,False,,False,False
0 days 00:45:05.074000,HAM,44,0 days 00:02:09.497000,6.0,3.0,,,0 days 00:00:35.041000,0 days 00:00:45.188000,0 days 00:00:49.268000,0 days 00:43:30.618000,0 days 00:44:15.806000,0 days 00:45:05.074000,212.0,118.0,235.0,195.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:42:55.577000,2021-05-02 14:12:55.587,41,2.0,False,,False,False
0 days 00:46:29.824000,HAM,44,0 days 00:01:24.750000,7.0,3.0,,,0 days 00:00:25.917000,0 days 00:00:32.162000,0 days 00:00:26.671000,0 days 00:45:30.991000,0 days 00:46:03.153000,0 days 00:46:29.824000,274.0,179.0,295.0,287.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:45:05.074000,2021-05-02 14:15:05.084,1,3.0,False,,False,True
0 days 00:47:52.857000,HAM,44,0 days 00:01:23.033000,8.0,3.0,,,0 days 00:00:24.349000,0 days 00:00:32.054000,0 days 00:00:26.630000,0 days 00:46:54.173000,0 days 00:47:26.227000,0 days 00:47:52.857000,278.0,171.0,299.0,310.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:46:29.824000,2021-05-02 14:16:29.834,1,3.0,False,,False,True
0 days 00:49:16.408000,HAM,44,0 days 00:01:23.551000,9.0,3.0,,,0 days 00:00:24.302000,0 days 00:00:32.565000,0 days 00:00:26.684000,0 days 00:48:17.159000,0 days 00:48:49.724000,0 days 00:49:16.408000,280.0,180.0,299.0,304.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:47:52.857000,2021-05-02 14:17:52.867,1,3.0,False,,False,True
0 days 00:50:39.452000,HAM,44,0 days 00:01:23.044000,10.0,3.0,,,0 days 00:00:24.090000,0 days 00:00:32.232000,0 days 00:00:26.722000,0 days 00:49:40.498000,0 days 00:50:12.730000,0 days 00:50:39.452000,282.0,180.0,304.0,302.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:49:16.408000,2021-05-02 14:19:16.418,1,3.0,False,,False,True
0 days 00:52:02.603000,HAM,44,0 days 00:01:23.151000,11.0,3.0,,,0 days 00:00:24.605000,0 days 00:00:31.994000,0 days 00:00:26.552000,0 days 00:51:04.057000,0 days 00:51:36.051000,0 days 00:52:02.603000,263.0,171.0,294.0,311.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:50:39.452000,2021-05-02 14:20:39.462,1,2.0,False,,False,True
