Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:48.429000,BOT,77,0 days 00:01:30.174000,1.0,1.0,,,,0 days 00:00:32.839000,0 days 00:00:28.896000,,0 days 00:34:19.593000,0 days 00:34:48.608000,246.0,268.0,275.0,289.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:18.087000,2021-05-09 13:03:18.095,1,4.0,False,,False,False
0 days 00:36:13.680000,BOT,77,0 days 00:01:25.251000,2.0,1.0,,,0 days 00:00:23.752000,0 days 00:00:32.452000,0 days 00:00:29.047000,0 days 00:35:12.219000,0 days 00:35:44.671000,0 days 00:36:13.718000,260.0,267.0,275.0,299.0,True,SOFT,5.0,False,Mercedes,0 days 00:34:48.429000,2021-05-09 13:04:48.437,1,4.0,False,,False,True
0 days 00:37:37.801000,BOT,77,0 days 00:01:24.121000,3.0,1.0,,,0 days 00:00:23.736000,0 days 00:00:31.637000,0 days 00:00:28.748000,0 days 00:36:37.454000,0 days 00:37:09.091000,0 days 00:37:37.839000,273.0,281.0,284.0,305.0,True,SOFT,6.0,False,Mercedes,0 days 00:36:13.680000,2021-05-09 13:06:13.688,1,4.0,False,,False,True
0 days 00:39:01.993000,BOT,77,0 days 00:01:24.192000,4.0,1.0,,,0 days 00:00:23.800000,0 days 00:00:31.695000,0 days 00:00:28.697000,0 days 00:38:01.639000,0 days 00:38:33.334000,0 days 00:39:02.031000,269.0,274.0,283.0,327.0,False,SOFT,7.0,False,Mercedes,0 days 00:37:37.801000,2021-05-09 13:07:37.809,1,4.0,False,,False,True
0 days 00:40:26.777000,BOT,77,0 days 00:01:24.784000,5.0,1.0,,,0 days 00:00:23.699000,0 days 00:00:32.113000,0 days 00:00:28.972000,0 days 00:39:25.730000,0 days 00:39:57.843000,0 days 00:40:26.815000,263.0,261.0,275.0,,False,SOFT,8.0,False,Mercedes,0 days 00:39:01.993000,2021-05-09 13:09:02.001,1,4.0,False,,False,True
0 days 00:41:50.579000,BOT,77,0 days 00:01:23.802000,6.0,1.0,,,0 days 00:00:23.651000,0 days 00:00:31.589000,0 days 00:00:28.562000,0 days 00:40:50.466000,0 days 00:41:22.055000,0 days 00:41:50.617000,265.0,286.0,283.0,295.0,True,SOFT,9.0,False,Mercedes,0 days 00:40:26.777000,2021-05-09 13:10:26.785,1,4.0,False,,False,True
0 days 00:43:14.475000,BOT,77,0 days 00:01:23.896000,7.0,1.0,,,0 days 00:00:23.604000,0 days 00:00:31.713000,0 days 00:00:28.579000,0 days 00:42:14.221000,0 days 00:42:45.934000,0 days 00:43:14.513000,267.0,284.0,286.0,313.0,False,SOFT,10.0,False,Mercedes,0 days 00:41:50.579000,2021-05-09 13:11:50.587,1,4.0,False,,False,True
0 days 00:44:46.550000,BOT,77,0 days 00:01:32.075000,8.0,1.0,,,0 days 00:00:23.871000,0 days 00:00:32.379000,0 days 00:00:35.825000,0 days 00:43:38.384000,0 days 00:44:10.763000,0 days 00:44:46.588000,263.0,233.0,209.0,330.0,False,SOFT,11.0,False,Mercedes,0 days 00:43:14.475000,2021-05-09 13:13:14.483,124,4.0,False,,False,False
0 days 00:46:48.768000,BOT,77,0 days 00:02:02.218000,9.0,1.0,,,0 days 00:00:32.069000,0 days 00:00:47.658000,0 days 00:00:42.491000,0 days 00:45:18.657000,0 days 00:46:06.315000,0 days 00:46:48.806000,219.0,147.0,199.0,204.0,False,SOFT,12.0,False,Mercedes,0 days 00:44:46.550000,2021-05-09 13:14:46.558,4,4.0,False,,False,False
0 days 00:49:05.677000,BOT,77,0 days 00:02:16.909000,10.0,1.0,,,0 days 00:00:36.281000,0 days 00:00:54.249000,0 days 00:00:46.379000,0 days 00:47:25.087000,0 days 00:48:19.336000,0 days 00:49:05.715000,135.0,100.0,280.0,143.0,False,SOFT,13.0,False,Mercedes,0 days 00:46:48.768000,2021-05-09 13:16:48.776,41,4.0,False,,False,False
