Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:40.383000,RUS,63,0 days 00:01:36.022000,1.0,1.0,,,,0 days 00:00:33.469000,0 days 00:00:24.508000,,0 days 01:03:15.948000,0 days 01:03:40.385000,255.0,233.0,249.0,281.0,False,HARD,1.0,True,Mercedes,0 days 01:02:04.106000,2023-07-23 13:03:06.134,12,14.0,False,,False,False
0 days 01:05:07.155000,RUS,63,0 days 00:01:26.772000,2.0,1.0,,,0 days 00:00:30.928000,0 days 00:00:31.721000,0 days 00:00:24.123000,0 days 01:04:11.311000,0 days 01:04:43.032000,0 days 01:05:07.155000,261.0,232.0,244.0,296.0,True,HARD,2.0,True,Mercedes,0 days 01:03:40.383000,2023-07-23 13:04:42.411,1,13.0,False,,False,True
0 days 01:06:33.992000,RUS,63,0 days 00:01:26.837000,3.0,1.0,,,0 days 00:00:31.154000,0 days 00:00:31.490000,0 days 00:00:24.193000,0 days 01:05:38.309000,0 days 01:06:09.799000,0 days 01:06:33.992000,250.0,234.0,247.0,290.0,False,HARD,3.0,True,Mercedes,0 days 01:05:07.155000,2023-07-23 13:06:09.183,1,13.0,False,,False,True
0 days 01:07:59.930000,RUS,63,0 days 00:01:25.938000,4.0,1.0,,,0 days 00:00:30.564000,0 days 00:00:31.370000,0 days 00:00:24.004000,0 days 01:07:04.556000,0 days 01:07:35.926000,0 days 01:07:59.930000,256.0,233.0,247.0,302.0,True,HARD,4.0,True,Mercedes,0 days 01:06:33.992000,2023-07-23 13:07:36.020,1,13.0,False,,False,True
0 days 01:09:26.031000,RUS,63,0 days 00:01:26.101000,5.0,1.0,,,0 days 00:00:30.721000,0 days 00:00:31.211000,0 days 00:00:24.169000,0 days 01:08:30.651000,0 days 01:09:01.862000,0 days 01:09:26.031000,258.0,235.0,246.0,,False,HARD,5.0,True,Mercedes,0 days 01:07:59.930000,2023-07-23 13:09:01.958,1,13.0,False,,False,True
0 days 01:10:51.870000,RUS,63,0 days 00:01:25.839000,6.0,1.0,,,0 days 00:00:30.786000,0 days 00:00:30.972000,0 days 00:00:24.081000,0 days 01:09:56.817000,0 days 01:10:27.789000,0 days 01:10:51.870000,254.0,234.0,247.0,300.0,True,HARD,6.0,True,Mercedes,0 days 01:09:26.031000,2023-07-23 13:10:28.059,1,13.0,False,,False,True
0 days 01:12:17.710000,RUS,63,0 days 00:01:25.840000,7.0,1.0,,,0 days 00:00:30.615000,0 days 00:00:30.994000,0 days 00:00:24.231000,0 days 01:11:22.485000,0 days 01:11:53.479000,0 days 01:12:17.710000,260.0,233.0,243.0,302.0,False,HARD,7.0,True,Mercedes,0 days 01:10:51.870000,2023-07-23 13:11:53.898,1,13.0,False,,False,True
0 days 01:13:43.773000,RUS,63,0 days 00:01:26.063000,8.0,1.0,,,0 days 00:00:30.748000,0 days 00:00:31.005000,0 days 00:00:24.310000,0 days 01:12:48.458000,0 days 01:13:19.463000,0 days 01:13:43.773000,262.0,233.0,242.0,289.0,False,HARD,8.0,True,Mercedes,0 days 01:12:17.710000,2023-07-23 13:13:19.738,1,13.0,False,,False,True
0 days 01:15:10.039000,RUS,63,0 days 00:01:26.266000,9.0,1.0,,,0 days 00:00:30.864000,0 days 00:00:31.212000,0 days 00:00:24.190000,0 days 01:14:14.637000,0 days 01:14:45.849000,0 days 01:15:10.039000,255.0,230.0,243.0,288.0,False,HARD,9.0,True,Mercedes,0 days 01:13:43.773000,2023-07-23 13:14:45.801,1,10.0,False,,False,True
0 days 01:16:35.273000,RUS,63,0 days 00:01:25.234000,10.0,1.0,,,0 days 00:00:30.378000,0 days 00:00:30.794000,0 days 00:00:24.062000,0 days 01:15:40.417000,0 days 01:16:11.211000,0 days 01:16:35.273000,262.0,231.0,242.0,299.0,True,HARD,10.0,True,Mercedes,0 days 01:15:10.039000,2023-07-23 13:16:12.067,1,10.0,False,,False,True
0 days 01:18:00.968000,RUS,63,0 days 00:01:25.695000,11.0,1.0,,,0 days 00:00:30.857000,0 days 00:00:30.841000,0 days 00:00:23.997000,0 days 01:17:06.130000,0 days 01:17:36.971000,0 days 01:18:00.968000,248.0,229.0,241.0,284.0,False,HARD,11.0,True,Mercedes,0 days 01:16:35.273000,2023-07-23 13:17:37.301,1,10.0,False,,False,True
0 days 01:19:26.964000,RUS,63,0 days 00:01:25.996000,12.0,1.0,,,0 days 00:00:31.024000,0 days 00:00:30.757000,0 days 00:00:24.215000,0 days 01:18:31.992000,0 days 01:19:02.749000,0 days 01:19:26.964000,258.0,232.0,236.0,276.0,False,HARD,12.0,True,Mercedes,0 days 01:18:00.968000,2023-07-23 13:19:02.996,1,10.0,False,,False,True
0 days 01:20:52.932000,RUS,63,0 days 00:01:25.968000,13.0,1.0,,,0 days 00:00:30.965000,0 days 00:00:30.840000,0 days 00:00:24.163000,0 days 01:19:57.929000,0 days 01:20:28.769000,0 days 01:20:52.932000,259.0,232.0,241.0,279.0,False,HARD,13.0,True,Mercedes,0 days 01:19:26.964000,2023-07-23 13:20:28.992,1,10.0,False,,False,True
