Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2021-08-01 13:03:12.833,0 days 01:02:12.824000,,1.873333333333333,0 days 00:00:00,9181,0,2,20,False,1,interpolation,0.0018564721710135014,2.7797105685605266e-06,OnTrack,-1571.0022308284595,-42.99000334961552,2388.0
2021-08-01 13:03:12.884,0 days 01:02:12.875000,,1.873333333333333,0 days 00:00:00.051000,9190,0,2,20,False,1,car,0.0,0.0,OnTrack,-1571.002579042551,-42.98835837925417,2388.0
2021-08-01 13:03:12.981,0 days 01:02:12.972000,,1.873333333333333,0 days 00:00:00.148000,9054,0,2,20,False,1,pos,-0.005821456855959672,-8.716513718649518e-06,OnTrack,-1571.0,-43.0,2388.0
2021-08-01 13:03:13.124,0 days 01:02:13.115000,99,1.873333333333333,0 days 00:00:00.291000,8918,0,2,20,False,1,car,0.0,0.0,OnTrack,-1570.9906624096084,-43.042149240998306,2388.0
2021-08-01 13:03:13.201,0 days 01:02:13.192000,99,0.9699999999999999,0 days 00:00:00.368000,8322,1,2,20,False,1,pos,0.02384625871135493,3.570519310526188e-05,OnTrack,-1571.0,-43.0,2388.0
2021-08-01 13:03:13.364,0 days 01:02:13.355000,44,0.06666666666666665,0 days 00:00:00.531000,7727,2,2,21,False,1,car,0.13333333333333336,0.00019964106200726607,OnTrack,-1571.0498149592743,-42.542989959043844,2388.0
2021-08-01 13:03:13.421,0 days 01:02:13.412000,44,0.033333333333333326,0 days 00:00:00.588000,6887,4,2,20,False,1,pos,0.19571018167886994,0.00029303841387003435,OnTrack,-1571.0,-42.0,2388.0
2021-08-01 13:03:13.604,0 days 01:02:13.595000,31,0.0,0 days 00:00:00.771000,6047,6,2,20,False,1,car,0.5333333333333333,0.0007985642480290641,OnTrack,-1571.2137747601107,-38.689728389000834,2388.0
2021-08-01 13:03:13.641,0 days 01:02:13.632000,31,0.0,0 days 00:00:00.808000,5780,10,2,20,False,1,pos,0.6437108175390966,0.0009638333342930302,OnTrack,-1572.0,-38.0,2388.0
2021-08-01 13:03:13.844,0 days 01:02:13.835000,11,0.0,0 days 00:00:01.011000,5514,14,2,21,False,1,car,1.4666666666666663,0.0021960516820799256,OnTrack,-1581.2354993567546,-34.410421931810795,2388.0
2021-08-01 13:03:13.861,0 days 01:02:13.852000,11,0.0,0 days 00:00:01.028000,5592,15,2,21,False,1,pos,1.5448632028626812,0.0023131359785658907,OnTrack,-1582.0,-34.0,2388.0
2021-08-01 13:03:14.081,0 days 01:02:14.072000,11,0.0,0 days 00:00:01.248000,5670,16,2,21,False,1,pos,2.650556140799009,0.00396869882144246,OnTrack,-1590.0,-27.0,2388.0
2021-08-01 13:03:14.084,0 days 01:02:14.075000,55,0.0,0 days 00:00:01.251000,5748,18,2,21,False,1,car,2.666666666666666,0.00399282124014532,OnTrack,-1590.110138561893,-26.902958694162404,2388.0000000000005
2021-08-01 13:03:14.300,0 days 01:02:14.291000,55,0.033333333333333215,0 days 00:00:01.467000,5818,19,2,21,False,1,pos,3.9121076807554513,0.005857629990546005,OnTrack,-1599.0,-20.0,2388.0
2021-08-01 13:03:14.324,0 days 01:02:14.315000,11,0.06666666666666643,0 days 00:00:01.491000,5888,21,2,21,False,1,car,4.066666666666667,0.006089052391221615,OnTrack,-1600.1143929266284,-19.12256788867803,2388.0
2021-08-01 13:03:14.520,0 days 01:02:14.511000,11,0.13333333333333286,0 days 00:00:01.687000,5904,23,2,20,False,1,pos,5.46326272929854,0.008180186799764065,OnTrack,-1610.0,-11.0,2388.0
2021-08-01 13:03:14.564,0 days 01:02:14.555000,11,0.1999999999999993,0 days 00:00:01.731000,5920,26,2,19,False,1,car,5.800000000000001,0.008684386197316074,OnTrack,-1612.3164960595088,-9.06209708715712,2388.0
2021-08-01 13:03:14.740,0 days 01:02:14.731000,11,0.09999999999999964,0 days 00:00:01.907000,5770,27,2,19,False,1,pos,7.208496007341668,0.010793338487856208,OnTrack,-1622.0,-1.0,2388.0
2021-08-01 13:03:14.804,0 days 01:02:14.795000,7,0.0,0 days 00:00:01.971000,5620,29,2,19,False,1,car,7.733333333333334,0.01157918159642143,OnTrack,-1625.804224496359,2.0649944163423344,2388.0
2021-08-01 13:03:14.960,0 days 01:02:14.951000,7,0.16666666666666696,0 days 00:00:02.127000,5671,30,2,19,False,1,pos,9.0318324267223,0.013523434631568769,OnTrack,-1636.0,10.0,2388.0
2021-08-01 13:03:15.044,0 days 01:02:15.035000,7,0.3333333333333339,0 days 00:00:02.211000,5722,31,2,20,False,1,car,9.799999999999999,0.014673618057534052,OnTrack,-1642.272921542121,14.704979259413498,2388.0
2021-08-01 13:03:15.180,0 days 01:02:15.171000,7,0.23388888888888815,0 days 00:00:02.347000,5781,34,2,21,False,1,pos,11.201803512521082,0.01677254962227323,OnTrack,-1653.0,23.0,2388.0
2021-08-01 13:03:15.285,0 days 01:02:15.276000,14,0.13444444444444237,0 days 00:00:02.452000,5840,38,2,23,False,1,car,12.34388888888889,0.018482603153081017,OnTrack,-1661.0148554745833,29.99339152633773,2387.999999999999
2021-08-01 13:03:15.381,0 days 01:02:15.372000,14,0.06791666666666529,0 days 00:00:02.548000,5840,39,2,23,False,1,pos,13.388210313487402,0.020046273940209428,OnTrack,-1669.0,37.0,2388.0
2021-08-01 13:03:15.525,0 days 01:02:15.516000,47,0.0013888888888882178,0 days 00:00:02.692000,5840,40,2,23,False,1,car,15.010555555555559,0.02247542439322634,OnTrack,-1683.4545902291661,48.798696021752555,2388.000000000013
2021-08-01 13:03:15.601,0 days 01:02:15.592000,47,0.26694444444444354,0 days 00:00:02.768000,5862,43,2,22,False,1,pos,15.930326303036733,0.02385260445945403,OnTrack,-1691.0,55.0,2388.0
2021-08-01 13:03:15.764,0 days 01:02:15.755000,47,0.5324999999999989,0 days 00:00:02.931000,5884,46,2,21,False,1,car,18.064444444444447,0.027048036550951098,OnTrack,-1705.4424543224538,67.43776261399812,2387.999999999927
2021-08-01 13:03:15.821,0 days 01:02:15.812000,47,0.7991666666666646,0 days 00:00:02.988000,5281,50,2,25,False,1,pos,18.868148323000387,0.028251428769858096,OnTrack,-1711.0,72.0,2388.0
2021-08-01 13:03:16.004,0 days 01:02:15.995000,47,1.0658333333333303,0 days 00:00:03.171000,4679,54,2,29,False,1,car,21.664444444444445,0.032438345225147276,OnTrack,-1732.3680734087707,88.37206570190077,2388.000000000334
2021-08-01 13:03:16.041,0 days 01:02:16.032000,47,1.2622222222222181,0 days 00:00:03.208000,5003,57,2,35,False,1,pos,22.274105068344152,0.03335119493329241,OnTrack,-1737.0,92.0,2388.0
2021-08-01 13:03:16.261,0 days 01:02:16.252000,47,1.4586111111111062,0 days 00:00:03.428000,5327,60,2,42,False,1,pos,26.203317928541605,0.039234436645260606,OnTrack,-1766.0,116.0,2388.0
2021-08-01 13:03:16.284,0 days 01:02:16.275000,14,1.654999999999994,0 days 00:00:03.451000,5651,64,2,49,False,1,car,26.642222222222227,0.03989161154008521,OnTrack,-1769.3126299556952,118.80820512202285,2388.000000001821
2021-08-01 13:03:16.481,0 days 01:02:16.472000,14,1.804861111111105,0 days 00:00:03.648000,6071,68,2,49,False,1,pos,30.60476969112294,0.045824765427176783,OnTrack,-1799.0,144.0,2388.0
2021-08-01 13:03:16.524,0 days 01:02:16.515000,47,1.954722222222216,0 days 00:00:03.691000,6491,73,2,50,False,1,car,31.50888888888889,0.04717851030335042,OnTrack,-1805.17509925917,149.11684175489847,2387.999999977941
2021-08-01 13:03:16.701,0 days 01:02:16.692000,47,2.1715277777777686,0 days 00:00:03.868000,7261,76,2,54,False,1,pos,35.35843705787668,0.052942469438636786,OnTrack,-1831.0,170.0,2388.0
2021-08-01 13:03:16.764,0 days 01:02:16.755000,14,2.388333333333321,0 days 00:00:03.931000,8031,79,2,59,False,1,car,36.77555555555556,0.05506433225263744,OnTrack,-1841.9705393903337,178.79667831743703,2388.000000207341
2021-08-01 13:03:16.921,0 days 01:02:16.912000,14,2.521666666666654,0 days 00:00:04.088000,8414,82,2,58,False,1,pos,40.41541290762426,0.06051431965755206,OnTrack,-1872.0,203.0,2388.0
