Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2022-07-03 14:03:16.105,0 days 01:02:16.093000,,0.0,0 days 00:00:00,9289,0,1,24,False,1,interpolation,-0.0396254933223129,-0.00010049133838166681,OnTrack,-1371,1701,1966
2022-07-03 14:03:16.199,0 days 01:02:16.187000,,0.0,0 days 00:00:00.094000,9134,0,1,24,False,1,pos,-0.0742930139901761,-0.00018840912206578728,OnTrack,-1372,1702,1967
2022-07-03 14:03:16.439,0 days 01:02:16.427000,,0.0,0 days 00:00:00.334000,8824,0,1,24,False,1,pos,-0.04643313374386007,-0.00011775570129111704,OnTrack,-1372,1702,1967
2022-07-03 14:03:16.519,0 days 01:02:16.507000,,0.0,0 days 00:00:00.414000,8514,0,1,24,False,1,car,0.0,0.0,OnTrack,-1371,1702,1967
2022-07-03 14:03:16.619,0 days 01:02:16.607000,,0.0,0 days 00:00:00.514000,7814,2,1,23,False,1,pos,0.08416005491074635,0.00021343220859014963,OnTrack,-1371,1703,1967
2022-07-03 14:03:16.719,0 days 01:02:16.707000,10,0.0,0 days 00:00:00.614000,7114,4,1,23,False,1,car,0.22222222222222224,0.000563561653292644,OnTrack,-1370,1703,1966
2022-07-03 14:03:16.918,0 days 01:02:16.906000,10,0.027777777777777735,0 days 00:00:00.813000,6554,6,1,22,False,1,pos,0.7191244000974928,0.0018237192112891076,OnTrack,-1368,1707,1967
2022-07-03 14:03:16.919,0 days 01:02:16.907000,10,0.05555555555555547,0 days 00:00:00.814000,5994,9,1,22,False,1,car,0.7222222222222221,0.0018315753732010929,OnTrack,-1367,1707,1967
2022-07-03 14:03:17.079,0 days 01:02:17.067000,55,0.0888888888888888,0 days 00:00:00.974000,5884,13,1,20,False,1,car,1.3,0.003296835671761968,OnTrack,-1365,1711,1967
2022-07-03 14:03:17.218,0 days 01:02:17.206000,55,0.2611111111111112,0 days 00:00:01.113000,5651,16,1,19,False,1,pos,1.9855708694827483,0.005035462208709347,OnTrack,-1361,1717,1967
