Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2022-08-28 13:03:44.580,0 days 01:02:44.500000,,0.0,0 days 00:00:00,8718,0,1,20,False,1,interpolation,-0.035847725524769745,-6.622623811776393e-06,OnTrack,-879,1971,4146
2022-08-28 13:03:44.722,0 days 01:02:44.642000,,0.0,0 days 00:00:00.142000,8655,0,1,20,False,1,car,0.0,0.0,OnTrack,-879,1976,4151
2022-08-28 13:03:44.773,0 days 01:02:44.693000,,0.0,0 days 00:00:00.193000,7758,2,1,20,False,1,pos,0.03822751851266709,7.062274402658579e-06,OnTrack,-879,1977,4152
2022-08-28 13:03:45.233,0 days 01:02:45.153000,,0.0,0 days 00:00:00.653000,6862,4,1,20,False,1,pos,0.9821124407115682,0.000181438602881627,OnTrack,-880,1979,4152
2022-08-28 13:03:45.242,0 days 01:02:45.162000,1,0.0,0 days 00:00:00.662000,5966,7,1,20,False,1,car,1.011111111111111,0.00018679591027802425,OnTrack,-880,1979,4151
2022-08-28 13:03:45.402,0 days 01:02:45.322000,11,0.011111111111111516,0 days 00:00:00.822000,4846,14,1,20,False,1,car,1.6333333333333329,0.00030174723967988526,OnTrack,-882,1981,4151
2022-08-28 13:03:45.413,0 days 01:02:45.333000,11,0.011111111111111368,0 days 00:00:00.833000,4778,18,1,21,False,1,pos,1.6897216795707262,0.0003121646036557508,OnTrack,-883,1982,4152
2022-08-28 13:03:45.613,0 days 01:02:45.533000,11,0.011111111111111219,0 days 00:00:01.033000,4710,22,1,23,False,1,pos,3.080433817403781,0.0005690892253580589,OnTrack,-887,1990,4152
2022-08-28 13:03:45.802,0 days 01:02:45.722000,18,0.011111111111111072,0 days 00:00:01.222000,4643,27,1,25,False,1,car,4.633333333333333,0.0008559768635817155,OnTrack,-894,2000,4151
2022-08-28 13:03:45.833,0 days 01:02:45.753000,18,0.09444444444444455,0 days 00:00:01.253000,4566,28,1,27,False,1,pos,4.87867013054673,0.0009013011705313359,OnTrack,-896,2002,4152
2022-08-28 13:03:46.002,0 days 01:02:45.922000,18,0.17777777777777803,0 days 00:00:01.422000,4489,30,1,30,False,1,car,6.299999999999999,0.0011638822101938434,OnTrack,-903,2013,4152
2022-08-28 13:03:46.033,0 days 01:02:45.953000,18,0.14074074074074083,0 days 00:00:01.453000,4980,36,1,35,False,1,pos,6.621604847406156,0.0012232965214014834,OnTrack,-905,2016,4153
2022-08-28 13:03:46.193,0 days 01:02:46.113000,18,0.10370370370370363,0 days 00:00:01.613000,5471,42,1,41,False,1,pos,8.637699724888115,0.0015957563566338941,OnTrack,-914,2030,4153
2022-08-28 13:03:46.402,0 days 01:02:46.322000,18,0.06666666666666643,0 days 00:00:01.822000,5962,49,1,47,False,1,car,11.744444444444445,0.0021697063424601284,OnTrack,-928,2051,4153
2022-08-28 13:03:46.512,0 days 01:02:46.432000,18,0.0851851851851843,0 days 00:00:01.932000,6513,51,1,50,False,1,pos,13.415598289314335,0.0024784406647682406,OnTrack,-937,2065,4154
2022-08-28 13:03:46.672,0 days 01:02:46.592000,18,0.10370370370370216,0 days 00:00:02.092000,7064,54,1,53,False,1,pos,16.00331772363668,0.0029565042543842172,OnTrack,-951,2086,4154
2022-08-28 13:03:46.682,0 days 01:02:46.602000,3,0.12222222222222001,0 days 00:00:02.102000,7616,57,1,56,False,1,car,16.177777777777777,0.002988734564448388,OnTrack,-951,2087,4154
2022-08-28 13:03:46.872,0 days 01:02:46.792000,3,0.17222222222222072,0 days 00:00:02.292000,8671,64,1,58,False,1,pos,19.78483324526223,0.0036551135628273713,OnTrack,-970,2115,4155
2022-08-28 13:03:47.041,0 days 01:02:46.961000,18,0.22222222222222143,0 days 00:00:02.461000,9726,71,1,60,False,1,car,23.258055555555554,0.004296767794414476,OnTrack,-988,2141,4155
2022-08-28 13:03:47.092,0 days 01:02:47.012000,18,0.3888888888888893,0 days 00:00:02.512000,9997,74,1,61,False,1,pos,24.321573449471465,0.0044932455018671024,OnTrack,-994,2150,4156
2022-08-28 13:03:47.281,0 days 01:02:47.201000,18,0.5555555555555571,0 days 00:00:02.701000,10268,77,1,63,False,1,car,28.39138888888889,0.00524511626197983,OnTrack,-1016,2184,4156
