Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:08:58.513000,RIC,3,0 days 00:01:40.783000,1.0,,,,,0 days 00:00:40.309000,0 days 00:00:25.850000,,0 days 00:08:32.687000,0 days 00:08:58.578000,300.0,251.0,244.0,309.0,False,nan,,True,Red Bull Racing,0 days 00:07:17.544000,2018-07-08 13:13:17.555,21,5.0,False,,False,False
0 days 00:10:32.935000,RIC,3,0 days 00:01:34.422000,2.0,1.0,,,0 days 00:00:30.099000,0 days 00:00:38.581000,0 days 00:00:25.742000,0 days 00:09:28.612000,0 days 00:10:07.193000,0 days 00:10:32.935000,291.0,253.0,244.0,304.0,True,SOFT,4.0,False,Red Bull Racing,0 days 00:08:58.513000,2018-07-08 13:14:58.524,12,5.0,False,,False,True
0 days 00:12:06.911000,RIC,3,0 days 00:01:33.976000,3.0,1.0,,,0 days 00:00:29.983000,0 days 00:00:38.371000,0 days 00:00:25.622000,0 days 00:11:02.918000,0 days 00:11:41.289000,0 days 00:12:06.911000,289.0,253.0,243.0,302.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:10:32.935000,2018-07-08 13:16:32.946,12,5.0,False,,False,True
0 days 00:13:40.935000,RIC,3,0 days 00:01:34.024000,4.0,1.0,,,0 days 00:00:30.061000,0 days 00:00:38.248000,0 days 00:00:25.715000,0 days 00:12:36.972000,0 days 00:13:15.220000,0 days 00:13:40.935000,287.0,252.0,243.0,305.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:12:06.911000,2018-07-08 13:18:06.922,1,5.0,False,,False,True
0 days 00:15:15.138000,RIC,3,0 days 00:01:34.203000,5.0,1.0,,,0 days 00:00:30.102000,0 days 00:00:38.320000,0 days 00:00:25.781000,0 days 00:14:11.037000,0 days 00:14:49.357000,0 days 00:15:15.138000,286.0,250.0,244.0,305.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:13:40.935000,2018-07-08 13:19:40.946,1,5.0,False,,False,True
0 days 00:16:49.248000,RIC,3,0 days 00:01:34.110000,6.0,1.0,,,0 days 00:00:30.038000,0 days 00:00:38.389000,0 days 00:00:25.683000,0 days 00:15:45.176000,0 days 00:16:23.565000,0 days 00:16:49.248000,291.0,251.0,244.0,302.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:15:15.138000,2018-07-08 13:21:15.149,1,5.0,False,,False,True
0 days 00:18:23.144000,RIC,3,0 days 00:01:33.896000,7.0,1.0,,,0 days 00:00:29.859000,0 days 00:00:38.337000,0 days 00:00:25.700000,0 days 00:17:19.107000,0 days 00:17:57.444000,0 days 00:18:23.144000,294.0,253.0,245.0,300.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:16:49.248000,2018-07-08 13:22:49.259,1,5.0,False,,False,True
0 days 00:19:57.080000,RIC,3,0 days 00:01:33.936000,8.0,1.0,,,0 days 00:00:30.008000,0 days 00:00:38.181000,0 days 00:00:25.747000,0 days 00:18:53.152000,0 days 00:19:31.333000,0 days 00:19:57.080000,293.0,252.0,245.0,301.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:18:23.144000,2018-07-08 13:24:23.155,1,5.0,False,,False,True
0 days 00:21:31.080000,RIC,3,0 days 00:01:34,9.0,1.0,,,0 days 00:00:29.922000,0 days 00:00:38.394000,0 days 00:00:25.684000,0 days 00:20:27.002000,0 days 00:21:05.396000,0 days 00:21:31.080000,291.0,253.0,244.0,306.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:19:57.080000,2018-07-08 13:25:57.091,1,5.0,False,,False,True
0 days 00:23:05.169000,RIC,3,0 days 00:01:34.089000,10.0,1.0,,,0 days 00:00:29.952000,0 days 00:00:38.373000,0 days 00:00:25.764000,0 days 00:22:01.032000,0 days 00:22:39.405000,0 days 00:23:05.169000,288.0,252.0,243.0,300.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:21:31.080000,2018-07-08 13:27:31.091,1,5.0,False,,False,True
0 days 00:24:39.304000,RIC,3,0 days 00:01:34.135000,11.0,1.0,,,0 days 00:00:29.972000,0 days 00:00:38.351000,0 days 00:00:25.812000,0 days 00:23:35.141000,0 days 00:24:13.492000,0 days 00:24:39.304000,290.0,251.0,244.0,302.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:23:05.169000,2018-07-08 13:29:05.180,1,5.0,False,,False,True
0 days 00:26:13.185000,RIC,3,0 days 00:01:33.881000,12.0,1.0,,,0 days 00:00:30.028000,0 days 00:00:38.209000,0 days 00:00:25.644000,0 days 00:25:09.332000,0 days 00:25:47.541000,0 days 00:26:13.185000,,254.0,243.0,310.0,True,SOFT,14.0,False,Red Bull Racing,0 days 00:24:39.304000,2018-07-08 13:30:39.315,1,5.0,False,,False,True
0 days 00:27:47.697000,RIC,3,0 days 00:01:34.512000,13.0,1.0,,,0 days 00:00:30.148000,0 days 00:00:38.530000,0 days 00:00:25.834000,0 days 00:26:43.333000,0 days 00:27:21.863000,0 days 00:27:47.697000,289.0,251.0,242.0,310.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:26:13.185000,2018-07-08 13:32:13.196,1,5.0,False,,False,True
