Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:01.461000,VER,33,0 days 00:01:41.132000,1.0,1.0,,0 days 00:34:58.190000,,0 days 00:00:29.447000,0 days 00:00:34.150000,,0 days 00:34:27.661000,0 days 00:35:01.591000,318.0,322.0,,248.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:33:20.098000,2019-09-08 13:13:21.425,12,20.0,False,,False,False
0 days 00:36:52.856000,VER,33,0 days 00:01:51.395000,2.0,2.0,0 days 00:35:28.968000,,0 days 00:00:54.952000,0 days 00:00:28.445000,0 days 00:00:27.998000,0 days 00:35:56.417000,0 days 00:36:24.862000,0 days 00:36:52.860000,300.0,312.0,304.0,280.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:35:01.461000,2019-09-08 13:15:02.788,1,20.0,False,,False,False
0 days 00:38:17.388000,VER,33,0 days 00:01:24.532000,3.0,2.0,,,0 days 00:00:28.085000,0 days 00:00:28.397000,0 days 00:00:28.050000,0 days 00:37:20.945000,0 days 00:37:49.342000,0 days 00:38:17.392000,302.0,311.0,304.0,309.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:36:52.856000,2019-09-08 13:16:54.183,12,20.0,False,,False,True
0 days 00:39:42.050000,VER,33,0 days 00:01:24.662000,4.0,2.0,,,0 days 00:00:28.120000,0 days 00:00:28.547000,0 days 00:00:27.995000,0 days 00:38:45.512000,0 days 00:39:14.059000,0 days 00:39:42.054000,300.0,310.0,304.0,311.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:38:17.388000,2019-09-08 13:18:18.715,1,20.0,False,,False,True
0 days 00:41:06.629000,VER,33,0 days 00:01:24.579000,5.0,2.0,,,0 days 00:00:28.011000,0 days 00:00:28.547000,0 days 00:00:28.021000,0 days 00:40:10.065000,0 days 00:40:38.612000,0 days 00:41:06.633000,301.0,311.0,304.0,312.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:39:42.050000,2019-09-08 13:19:43.377,1,20.0,False,,False,True
0 days 00:42:31.658000,VER,33,0 days 00:01:25.029000,6.0,2.0,,,0 days 00:00:28.075000,0 days 00:00:28.740000,0 days 00:00:28.214000,0 days 00:41:34.708000,0 days 00:42:03.448000,0 days 00:42:31.662000,303.0,311.0,305.0,311.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:41:06.629000,2019-09-08 13:21:07.956,12,20.0,False,,False,True
0 days 00:43:56.456000,VER,33,0 days 00:01:24.798000,7.0,2.0,,,0 days 00:00:28.048000,0 days 00:00:28.555000,0 days 00:00:28.195000,0 days 00:42:59.710000,0 days 00:43:28.265000,0 days 00:43:56.460000,304.0,313.0,306.0,313.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:42:31.658000,2019-09-08 13:22:32.985,1,18.0,False,,False,True
0 days 00:45:21.475000,VER,33,0 days 00:01:25.019000,8.0,2.0,,,0 days 00:00:28.231000,0 days 00:00:28.660000,0 days 00:00:28.128000,0 days 00:44:24.691000,0 days 00:44:53.351000,0 days 00:45:21.479000,306.0,316.0,307.0,,False,SOFT,7.0,True,Red Bull Racing,0 days 00:43:56.456000,2019-09-08 13:23:57.783,1,18.0,False,,False,True
0 days 00:46:46.550000,VER,33,0 days 00:01:25.075000,9.0,2.0,,,0 days 00:00:28.130000,0 days 00:00:28.758000,0 days 00:00:28.187000,0 days 00:45:49.609000,0 days 00:46:18.367000,0 days 00:46:46.554000,307.0,318.0,309.0,316.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:45:21.475000,2019-09-08 13:25:22.802,1,18.0,False,,False,True
0 days 00:48:12.946000,VER,33,0 days 00:01:26.396000,10.0,2.0,,,0 days 00:00:28.121000,0 days 00:00:29.497000,0 days 00:00:28.778000,0 days 00:47:14.675000,0 days 00:47:44.172000,0 days 00:48:12.950000,314.0,345.0,309.0,325.0,False,SOFT,9.0,True,Red Bull Racing,0 days 00:46:46.550000,2019-09-08 13:26:47.877,1,17.0,False,,False,True
0 days 00:49:39.229000,VER,33,0 days 00:01:26.283000,11.0,2.0,,,0 days 00:00:28.330000,0 days 00:00:29.392000,0 days 00:00:28.561000,0 days 00:48:41.280000,0 days 00:49:10.672000,0 days 00:49:39.233000,315.0,339.0,306.0,329.0,False,SOFT,10.0,True,Red Bull Racing,0 days 00:48:12.946000,2019-09-08 13:28:14.273,1,16.0,False,,False,True
0 days 00:51:04.217000,VER,33,0 days 00:01:24.988000,12.0,2.0,,,0 days 00:00:28.148000,0 days 00:00:28.653000,0 days 00:00:28.187000,0 days 00:50:07.381000,0 days 00:50:36.034000,0 days 00:51:04.221000,308.0,317.0,308.0,316.0,False,SOFT,11.0,True,Red Bull Racing,0 days 00:49:39.229000,2019-09-08 13:29:40.556,1,16.0,False,,False,True
0 days 00:52:29.629000,VER,33,0 days 00:01:25.412000,13.0,2.0,,,0 days 00:00:28.433000,0 days 00:00:28.733000,0 days 00:00:28.246000,0 days 00:51:32.654000,0 days 00:52:01.387000,0 days 00:52:29.633000,316.0,319.0,309.0,317.0,False,SOFT,12.0,True,Red Bull Racing,0 days 00:51:04.217000,2019-09-08 13:31:05.544,1,16.0,False,,False,True
0 days 00:53:55.438000,VER,33,0 days 00:01:25.809000,14.0,2.0,,,0 days 00:00:28.201000,0 days 00:00:28.940000,0 days 00:00:28.668000,0 days 00:52:57.834000,0 days 00:53:26.774000,0 days 00:53:55.442000,311.0,327.0,314.0,322.0,False,SOFT,13.0,True,Red Bull Racing,0 days 00:52:29.629000,2019-09-08 13:32:30.956,1,16.0,False,,False,True
0 days 00:55:20.564000,VER,33,0 days 00:01:25.126000,15.0,2.0,,,0 days 00:00:28.197000,0 days 00:00:28.789000,0 days 00:00:28.140000,0 days 00:54:23.639000,0 days 00:54:52.428000,0 days 00:55:20.568000,308.0,318.0,307.0,325.0,False,SOFT,14.0,True,Red Bull Racing,0 days 00:53:55.438000,2019-09-08 13:33:56.765,1,15.0,False,,False,True
0 days 00:56:45.416000,VER,33,0 days 00:01:24.852000,16.0,2.0,,,0 days 00:00:28.135000,0 days 00:00:28.672000,0 days 00:00:28.045000,0 days 00:55:48.703000,0 days 00:56:17.375000,0 days 00:56:45.420000,310.0,320.0,309.0,320.0,False,SOFT,15.0,True,Red Bull Racing,0 days 00:55:20.564000,2019-09-08 13:35:21.891,1,14.0,False,,False,True
0 days 00:58:10.432000,VER,33,0 days 00:01:25.016000,17.0,2.0,,,0 days 00:00:28.086000,0 days 00:00:28.676000,0 days 00:00:28.254000,0 days 00:57:13.506000,0 days 00:57:42.182000,0 days 00:58:10.436000,,321.0,312.0,322.0,False,SOFT,16.0,True,Red Bull Racing,0 days 00:56:45.416000,2019-09-08 13:36:46.743,1,14.0,False,,False,True
0 days 00:59:35.585000,VER,33,0 days 00:01:25.153000,18.0,2.0,,,0 days 00:00:27.972000,0 days 00:00:28.903000,0 days 00:00:28.278000,0 days 00:58:38.408000,0 days 00:59:07.311000,0 days 00:59:35.589000,309.0,321.0,310.0,341.0,False,SOFT,17.0,True,Red Bull Racing,0 days 00:58:10.432000,2019-09-08 13:38:11.759,1,13.0,False,,False,True
0 days 01:01:01.093000,VER,33,0 days 00:01:25.508000,19.0,2.0,,,0 days 00:00:28.548000,0 days 00:00:28.845000,0 days 00:00:28.115000,0 days 01:00:04.137000,0 days 01:00:32.982000,0 days 01:01:01.097000,312.0,322.0,313.0,326.0,False,SOFT,18.0,True,Red Bull Racing,0 days 00:59:35.585000,2019-09-08 13:39:36.912,1,13.0,False,,False,True
0 days 01:02:27.090000,VER,33,0 days 00:01:25.997000,20.0,2.0,,,0 days 00:00:28.141000,0 days 00:00:29.182000,0 days 00:00:28.674000,0 days 01:01:29.238000,0 days 01:01:58.420000,0 days 01:02:27.094000,315.0,333.0,311.0,339.0,False,SOFT,19.0,True,Red Bull Racing,0 days 01:01:01.093000,2019-09-08 13:41:02.420,1,12.0,False,,False,True
0 days 01:03:53.546000,VER,33,0 days 00:01:26.456000,21.0,2.0,,,0 days 00:00:28.212000,0 days 00:00:29.494000,0 days 00:00:28.750000,0 days 01:02:55.306000,0 days 01:03:24.800000,0 days 01:03:53.550000,316.0,338.0,315.0,341.0,False,SOFT,20.0,True,Red Bull Racing,0 days 01:02:27.090000,2019-09-08 13:42:28.417,1,12.0,False,,False,True
0 days 01:05:19.125000,VER,33,0 days 00:01:25.579000,22.0,2.0,,,0 days 00:00:28.063000,0 days 00:00:29.189000,0 days 00:00:28.327000,0 days 01:04:21.613000,0 days 01:04:50.802000,0 days 01:05:19.129000,319.0,319.0,309.0,357.0,False,SOFT,21.0,True,Red Bull Racing,0 days 01:03:53.546000,2019-09-08 13:43:54.873,1,10.0,False,,False,True
0 days 01:06:45.317000,VER,33,0 days 00:01:26.192000,23.0,2.0,,,0 days 00:00:28.288000,0 days 00:00:29.429000,0 days 00:00:28.475000,0 days 01:05:47.417000,0 days 01:06:16.846000,0 days 01:06:45.321000,310.0,325.0,312.0,320.0,False,SOFT,22.0,True,Red Bull Racing,0 days 01:05:19.125000,2019-09-08 13:45:20.452,1,10.0,False,,False,True
