Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:20.834000,ALB,23,0 days 00:01:49.439000,1.0,1.0,,,,0 days 00:00:44.842000,0 days 00:00:42.986000,,0 days 00:34:37.855000,0 days 00:35:20.934000,263.0,299.0,216.0,301.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:33:31.194000,2019-12-01 13:13:31.397,12,5.0,False,,False,False
0 days 00:37:05.345000,ALB,23,0 days 00:01:44.511000,2.0,1.0,,,0 days 00:00:18.175000,0 days 00:00:44.358000,0 days 00:00:41.978000,0 days 00:35:39.003000,0 days 00:36:23.361000,0 days 00:37:05.339000,271.0,279.0,210.0,294.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:35:20.834000,2019-12-01 13:15:21.037,1,5.0,False,,False,True
0 days 00:38:49.171000,ALB,23,0 days 00:01:43.826000,3.0,1.0,,,0 days 00:00:18.079000,0 days 00:00:44.184000,0 days 00:00:41.563000,0 days 00:37:23.418000,0 days 00:38:07.602000,0 days 00:38:49.165000,269.0,290.0,214.0,294.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:37:05.345000,2019-12-01 13:17:05.548,1,5.0,False,,False,True
0 days 00:40:33.052000,ALB,23,0 days 00:01:43.881000,4.0,1.0,,,0 days 00:00:18.041000,0 days 00:00:44.252000,0 days 00:00:41.588000,0 days 00:39:07.206000,0 days 00:39:51.458000,0 days 00:40:33.046000,271.0,287.0,212.0,291.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:38:49.171000,2019-12-01 13:18:49.374,1,5.0,False,,False,True
0 days 00:42:17.162000,ALB,23,0 days 00:01:44.110000,5.0,1.0,,,0 days 00:00:18.089000,0 days 00:00:44.433000,0 days 00:00:41.588000,0 days 00:40:51.135000,0 days 00:41:35.568000,0 days 00:42:17.156000,,288.0,214.0,292.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:40:33.052000,2019-12-01 13:20:33.255,1,5.0,False,,False,True
0 days 00:44:01.204000,ALB,23,0 days 00:01:44.042000,6.0,1.0,,,0 days 00:00:18.112000,0 days 00:00:44.329000,0 days 00:00:41.601000,0 days 00:42:35.268000,0 days 00:43:19.597000,0 days 00:44:01.198000,269.0,285.0,213.0,291.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:42:17.162000,2019-12-01 13:22:17.365,1,5.0,False,,False,True
0 days 00:45:45.808000,ALB,23,0 days 00:01:44.604000,7.0,1.0,,,0 days 00:00:18.105000,0 days 00:00:44.321000,0 days 00:00:42.178000,0 days 00:44:19.303000,0 days 00:45:03.624000,0 days 00:45:45.802000,268.0,284.0,210.0,293.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:44:01.204000,2019-12-01 13:24:01.407,1,5.0,False,,False,True
0 days 00:47:29.750000,ALB,23,0 days 00:01:43.942000,8.0,1.0,,,0 days 00:00:18.122000,0 days 00:00:44.498000,0 days 00:00:41.322000,0 days 00:46:03.924000,0 days 00:46:48.422000,0 days 00:47:29.744000,271.0,284.0,214.0,291.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:45:45.808000,2019-12-01 13:25:46.011,1,5.0,False,,False,True
0 days 00:49:13.981000,ALB,23,0 days 00:01:44.231000,9.0,1.0,,,0 days 00:00:18.179000,0 days 00:00:44.504000,0 days 00:00:41.548000,0 days 00:47:47.923000,0 days 00:48:32.427000,0 days 00:49:13.975000,269.0,284.0,214.0,291.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:47:29.750000,2019-12-01 13:27:29.953,1,5.0,False,,False,True
0 days 00:50:58.289000,ALB,23,0 days 00:01:44.308000,10.0,1.0,,,0 days 00:00:18.110000,0 days 00:00:44.658000,0 days 00:00:41.540000,0 days 00:49:32.085000,0 days 00:50:16.743000,0 days 00:50:58.283000,271.0,283.0,213.0,288.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:49:13.981000,2019-12-01 13:29:14.184,1,5.0,False,,False,True
0 days 00:52:42.473000,ALB,23,0 days 00:01:44.184000,11.0,1.0,,,0 days 00:00:18.099000,0 days 00:00:44.659000,0 days 00:00:41.426000,0 days 00:51:16.382000,0 days 00:52:01.041000,0 days 00:52:42.467000,270.0,288.0,214.0,289.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:50:58.289000,2019-12-01 13:30:58.492,1,5.0,False,,False,True
