Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:23:51.702000,PER,11,0 days 00:01:29.806000,1.0,1.0,,,,0 days 00:00:30.555000,0 days 00:00:28.768000,,0 days 01:23:23.022000,0 days 01:23:51.850000,329.0,313.0,308.0,298.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:22:21.726000,2023-09-03 13:23:22.771,1,6.0,False,,False,False
0 days 01:25:18.583000,PER,11,0 days 00:01:26.881000,2.0,1.0,,,0 days 00:00:28.473000,0 days 00:00:29.887000,0 days 00:00:28.521000,0 days 01:24:20.154000,0 days 01:24:50.041000,0 days 01:25:18.562000,311.0,312.0,306.0,301.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:23:51.702000,2023-09-03 13:24:52.747,1,5.0,False,,False,True
0 days 01:26:44.726000,PER,11,0 days 00:01:26.143000,3.0,1.0,,,0 days 00:00:28.372000,0 days 00:00:29.462000,0 days 00:00:28.309000,0 days 01:25:46.934000,0 days 01:26:16.396000,0 days 01:26:44.705000,312.0,326.0,308.0,308.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:25:18.583000,2023-09-03 13:26:19.628,1,5.0,False,,False,True
0 days 01:28:10.745000,PER,11,0 days 00:01:26.019000,4.0,1.0,,,0 days 00:00:28.308000,0 days 00:00:29.522000,0 days 00:00:28.189000,0 days 01:27:13.013000,0 days 01:27:42.535000,0 days 01:28:10.724000,313.0,335.0,310.0,,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:26:44.726000,2023-09-03 13:27:45.771,1,5.0,False,,False,True
0 days 01:29:37.099000,PER,11,0 days 00:01:26.354000,5.0,1.0,,,0 days 00:00:28.330000,0 days 00:00:29.673000,0 days 00:00:28.351000,0 days 01:28:39.054000,0 days 01:29:08.727000,0 days 01:29:37.078000,309.0,325.0,309.0,340.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:28:10.745000,2023-09-03 13:29:11.790,1,5.0,False,,False,True
0 days 01:31:03.564000,PER,11,0 days 00:01:26.465000,6.0,1.0,,,0 days 00:00:28.327000,0 days 00:00:29.863000,0 days 00:00:28.275000,0 days 01:30:05.405000,0 days 01:30:35.268000,0 days 01:31:03.543000,308.0,321.0,308.0,317.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:29:37.099000,2023-09-03 13:30:38.144,1,5.0,False,,False,True
0 days 01:32:29.897000,PER,11,0 days 00:01:26.333000,7.0,1.0,,,0 days 00:00:28.288000,0 days 00:00:29.798000,0 days 00:00:28.247000,0 days 01:31:31.831000,0 days 01:32:01.629000,0 days 01:32:29.876000,,322.0,310.0,319.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:31:03.564000,2023-09-03 13:32:04.609,1,5.0,False,,False,True
0 days 01:33:56.784000,PER,11,0 days 00:01:26.887000,8.0,1.0,,,0 days 00:00:28.038000,0 days 00:00:30.154000,0 days 00:00:28.695000,0 days 01:32:57.914000,0 days 01:33:28.068000,0 days 01:33:56.763000,314.0,324.0,305.0,340.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:32:29.897000,2023-09-03 13:33:30.942,1,5.0,False,,False,True
0 days 01:35:23.348000,PER,11,0 days 00:01:26.564000,9.0,1.0,,,0 days 00:00:28.437000,0 days 00:00:29.838000,0 days 00:00:28.289000,0 days 01:34:25.200000,0 days 01:34:55.038000,0 days 01:35:23.327000,309.0,319.0,308.0,313.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:33:56.784000,2023-09-03 13:34:57.829,1,5.0,False,,False,True
0 days 01:36:49.802000,PER,11,0 days 00:01:26.454000,10.0,1.0,,,0 days 00:00:28.302000,0 days 00:00:29.828000,0 days 00:00:28.324000,0 days 01:35:51.629000,0 days 01:36:21.457000,0 days 01:36:49.781000,312.0,334.0,310.0,315.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:35:23.348000,2023-09-03 13:36:24.393,1,5.0,False,,False,True
