,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,121546,1.0,31177,31909,58460,0,1.0,1,12.0,0,0,0,40515.333333333336,0,0,1,0,1,0,0,0,1,0,0
1,106190,2.0,31068,30699,44423,1,2.0,1,12.0,0,0,0,35396.666666666664,0,0,1,0,1,0,0,0,1,0,0
2,100931,3.0,26856,30558,43517,1,3.0,1,11.0,0,0,0,33643.666666666664,1,0,0,0,1,0,0,0,1,0,0
3,100508,4.0,26510,30538,43460,1,4.0,1,10.0,0,0,0,33502.666666666664,1,0,0,0,1,0,0,0,1,0,0
4,100443,5.0,26801,29943,43699,1,5.0,1,10.0,0,0,0,33481.0,0,0,1,0,1,0,0,0,1,0,0
5,100374,6.0,26521,30111,43742,1,6.0,1,10.0,0,0,0,33458.0,0,0,1,0,1,0,0,0,1,0,0
6,100260,7.0,26705,29999,43556,1,7.0,1,10.0,0,0,0,33420.0,0,0,1,0,1,0,0,0,1,0,0
7,100016,8.0,26418,30161,43437,1,8.0,1,10.0,0,0,0,33338.666666666664,0,0,1,0,1,0,0,0,1,0,0
8,100644,9.0,26568,30427,43649,0,9.0,1,10.0,0,0,0,33548.0,0,0,1,0,1,0,0,0,1,0,0
9,99939,10.0,26401,30371,43167,1,10.0,1,9.0,0,0,0,33313.0,1,0,0,0,1,0,0,0,1,0,0
10,100773,11.0,26840,30214,43719,0,11.0,1,9.0,0,0,0,33591.0,0,0,1,0,1,0,0,0,1,0,0
11,100342,12.0,26686,30229,43427,0,12.0,1,9.0,0,0,0,33447.333333333336,0,0,1,0,1,0,0,0,1,0,0
12,100490,13.0,26772,30041,43677,0,13.0,1,9.0,0,0,0,33496.666666666664,0,0,1,0,1,0,0,0,1,0,0
13,100053,14.0,26485,29906,43662,0,14.0,1,9.0,0,0,0,33351.0,0,0,1,0,1,0,0,0,1,0,0
14,100885,15.0,26681,30155,44049,0,15.0,1,9.0,0,0,0,33628.333333333336,0,0,1,0,1,0,0,0,1,0,0
15,100275,16.0,26724,30062,43489,0,16.0,1,9.0,0,0,0,33425.0,0,0,1,0,1,0,0,0,1,0,0
16,100419,17.0,26600,30124,43695,0,17.0,1,9.0,0,0,0,33473.0,0,0,1,0,1,0,0,0,1,0,0
17,101169,18.0,27169,30066,43934,0,18.0,1,9.0,0,0,0,33723.0,0,0,1,0,1,0,0,0,1,0,0
18,100842,19.0,26773,30304,43765,0,19.0,1,8.0,0,0,0,33614.0,1,0,0,0,1,0,0,0,0,1,0
19,101028,20.0,26879,30152,43997,0,20.0,1,6.0,0,0,0,33676.0,1,0,0,0,1,0,0,0,0,1,0
20,101116,21.0,26692,30507,43917,0,21.0,1,6.0,0,0,0,33705.333333333336,0,0,1,0,1,0,0,0,0,1,0
21,100586,22.0,26584,30096,43906,0,22.0,1,6.0,0,0,0,33528.666666666664,0,0,1,0,1,0,0,0,0,1,0
22,102040,23.0,26949,31021,44070,0,23.0,1,7.0,0,0,0,34013.333333333336,0,1,0,0,1,0,0,0,0,1,0
23,101485,24.0,26947,30459,44079,0,24.0,1,7.0,0,0,0,33828.333333333336,0,0,1,0,1,0,0,0,0,1,0
24,105356,25.0,26744,30277,48335,0,25.0,1,7.0,0,1,0,35118.666666666664,0,0,1,0,1,0,0,0,0,1,0
25,118755,26.0,46503,29514,42738,0,1.0,1,10.0,0,0,1,39585.0,0,1,0,0,0,1,0,0,0,1,0
26,97812,27.0,25847,29017,42948,1,2.0,1,10.0,0,0,0,32604.0,0,0,1,0,0,1,0,0,0,1,0
27,98156,28.0,25842,29456,42858,0,3.0,1,9.0,0,0,0,32718.666666666668,1,0,0,0,0,1,0,0,0,1,0
28,98796,29.0,26427,29246,43123,0,4.0,1,9.0,0,0,0,32932.0,0,0,1,0,0,1,0,0,0,1,0
29,98913,30.0,26085,29542,43286,0,5.0,1,9.0,0,0,0,32971.0,0,0,1,0,0,1,0,0,0,1,0
30,98799,31.0,26055,29399,43345,0,6.0,1,9.0,0,0,0,32933.0,0,0,1,0,0,1,0,0,0,1,0
31,98780,32.0,26206,29440,43134,0,7.0,1,9.0,0,0,0,32926.666666666664,0,0,1,0,0,1,0,0,0,1,0
32,98812,33.0,26214,29414,43184,0,8.0,1,9.0,0,0,0,32937.333333333336,0,0,1,0,0,1,0,0,0,1,0
33,98856,34.0,26186,29548,43122,0,9.0,1,9.0,0,0,0,32952.0,0,0,1,0,0,1,0,0,0,1,0
34,98712,35.0,26170,29502,43040,0,10.0,1,9.0,0,0,0,32904.0,0,0,1,0,0,1,0,0,0,1,0
35,99094,36.0,26348,29661,43085,0,11.0,1,9.0,0,0,0,33031.333333333336,0,0,1,0,0,1,0,0,0,1,0
36,98787,37.0,26144,29552,43091,0,12.0,1,9.0,0,0,0,32929.0,0,0,1,0,0,1,0,0,0,0,1
37,99480,38.0,26134,29632,43714,0,13.0,1,9.0,0,0,0,33160.0,0,0,1,0,0,1,0,0,0,0,1
38,99067,39.0,26098,29719,43250,0,14.0,1,9.0,0,0,0,33022.333333333336,0,0,1,0,0,1,0,0,0,0,1
39,99031,40.0,26176,29486,43369,0,15.0,1,9.0,0,0,0,33010.333333333336,0,0,1,0,0,1,0,0,0,0,1
40,98690,41.0,26238,29360,43092,0,16.0,1,9.0,0,0,0,32896.666666666664,0,0,1,0,0,1,0,0,0,0,1
41,99113,42.0,26235,29502,43376,0,17.0,1,9.0,0,0,0,33037.666666666664,0,0,1,0,0,1,0,0,0,0,1
42,99014,43.0,26427,29462,43125,0,18.0,1,9.0,0,0,0,33004.666666666664,0,0,1,0,0,1,0,0,0,0,1
43,98947,44.0,26193,29569,43185,0,19.0,1,9.0,0,0,0,32982.333333333336,0,0,1,0,0,1,0,0,0,0,1
44,98864,45.0,26198,29662,43004,0,20.0,1,9.0,0,0,0,32954.666666666664,0,0,1,0,0,1,0,0,0,0,1
45,99116,46.0,26190,29694,43232,0,21.0,1,9.0,0,0,0,33038.666666666664,0,0,1,0,0,1,0,0,0,0,1
46,99803,47.0,26392,29661,43750,0,22.0,1,9.0,0,0,0,33267.666666666664,0,0,1,0,0,1,0,0,0,0,1
47,99807,48.0,26292,29899,43616,0,23.0,1,9.0,0,0,0,33269.0,0,0,1,0,0,1,0,0,0,0,1
48,99460,49.0,26385,29647,43428,0,24.0,1,9.0,0,0,0,33153.333333333336,0,0,1,0,0,1,0,0,0,0,1
49,99627,50.0,26343,29729,43555,0,25.0,1,9.0,0,0,0,33209.0,0,0,1,0,0,1,0,0,0,0,1
50,101124,51.0,26708,30834,43582,0,26.0,1,9.0,0,0,0,33708.0,0,0,1,0,0,1,0,0,0,0,1
51,101143,52.0,26437,29688,45018,0,27.0,1,9.0,0,0,0,33714.333333333336,0,0,1,0,0,1,0,0,0,0,1
52,101875,53.0,26538,30331,45006,0,28.0,1,9.0,0,0,0,33958.333333333336,0,0,1,0,0,1,0,0,0,0,1
53,100512,54.0,26463,29727,44322,0,29.0,1,9.0,0,0,0,33504.0,0,0,1,0,0,1,0,0,0,0,1
54,101409,55.0,26913,30151,44345,0,30.0,1,9.0,0,0,0,33803.0,0,0,1,0,0,1,0,0,0,0,1
