,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,76365,1.0,21525,32020,22820,0,4.0,0,6.0,0,0,0,25455.0,0,0,1,1,0,0,0,0,1,0,0
1,71290,2.0,17679,31672,21939,1,5.0,0,6.0,0,0,0,23763.333333333332,0,0,1,1,0,0,0,0,1,0,0
2,70855,3.0,17567,31576,21712,1,6.0,0,6.0,0,0,0,23618.333333333332,0,0,1,1,0,0,0,0,1,0,0
3,69828,4.0,0,0,21462,1,7.0,0,5.0,0,0,0,7154.0,1,0,0,1,0,0,0,0,1,0,0
4,70361,5.0,17295,31461,21605,0,8.0,0,5.0,0,0,0,23453.666666666668,0,0,1,1,0,0,0,0,1,0,0
5,69522,6.0,17313,30970,21239,1,9.0,0,4.0,0,0,0,23174.0,1,0,0,1,0,0,0,0,1,0,0
6,69919,7.0,17727,30961,21231,0,10.0,0,4.0,0,0,0,23306.333333333332,0,0,1,1,0,0,0,0,1,0,0
7,70010,8.0,17777,31031,21202,0,11.0,0,4.0,0,0,0,23336.666666666668,0,0,1,1,0,0,0,0,1,0,0
8,69800,9.0,17609,31093,21098,0,12.0,0,4.0,0,0,0,23266.666666666668,0,0,1,1,0,0,0,0,1,0,0
9,69384,10.0,17464,30924,20996,1,13.0,0,4.0,0,0,0,23128.0,0,0,1,1,0,0,0,0,1,0,0
10,69658,11.0,17411,31194,21053,0,14.0,0,4.0,0,0,0,23219.333333333332,0,0,1,1,0,0,0,0,1,0,0
11,69475,12.0,17475,30841,21159,0,15.0,0,4.0,0,0,0,23158.333333333332,0,0,1,1,0,0,0,0,1,0,0
12,69393,13.0,17396,30993,21004,0,16.0,0,4.0,0,0,0,23131.0,0,0,1,1,0,0,0,0,1,0,0
13,69497,14.0,17510,30813,21174,0,17.0,0,4.0,0,0,0,23165.666666666668,0,0,1,1,0,0,0,0,1,0,0
14,69547,15.0,17584,30902,21061,0,18.0,0,4.0,0,0,0,23182.333333333332,0,0,1,1,0,0,0,0,1,0,0
15,69400,16.0,17501,30846,21053,0,19.0,0,4.0,0,0,0,23133.333333333332,0,0,1,1,0,0,0,0,1,0,0
16,69396,17.0,17498,30881,21017,0,20.0,0,4.0,0,0,0,23132.0,0,0,1,1,0,0,0,0,1,0,0
17,69073,18.0,17449,30651,20973,1,21.0,0,4.0,0,0,0,23024.333333333332,0,0,1,1,0,0,0,0,1,0,0
18,69233,19.0,17441,30760,21032,0,22.0,0,4.0,0,0,0,23077.666666666668,0,0,1,1,0,0,0,0,1,0,0
19,69219,20.0,17371,30885,20963,0,23.0,0,4.0,0,0,0,23073.0,0,0,1,1,0,0,0,0,1,0,0
20,72785,21.0,17443,30730,24612,0,24.0,0,4.0,0,1,0,24261.666666666668,0,0,1,1,0,0,0,0,1,0,0
21,90434,22.0,37853,31066,21515,0,1.0,1,8.0,0,0,1,30144.666666666668,0,1,0,0,0,1,0,0,1,0,0
22,70018,23.0,17281,30703,22034,0,2.0,1,6.0,0,0,0,23339.333333333332,1,0,0,0,0,1,0,0,1,0,0
23,68851,24.0,17361,30617,20873,1,3.0,1,6.0,0,0,0,22950.333333333332,0,0,1,0,0,1,0,0,1,0,0
24,68919,25.0,17447,30557,20915,0,4.0,1,5.0,0,0,0,22973.0,1,0,0,0,0,1,0,0,0,1,0
25,68915,26.0,17153,30780,20982,0,5.0,1,5.0,0,0,0,22971.666666666668,0,0,1,0,0,1,0,0,0,1,0
26,68975,27.0,17354,30658,20963,0,6.0,1,5.0,0,0,0,22991.666666666668,0,0,1,0,0,1,0,0,0,1,0
27,68847,28.0,17446,30564,20837,1,7.0,1,5.0,0,0,0,22949.0,0,0,1,0,0,1,0,0,0,1,0
28,68750,29.0,17419,30506,20825,1,8.0,1,5.0,0,0,0,22916.666666666668,0,0,1,0,0,1,0,0,0,1,0
29,68345,30.0,17334,30392,20619,1,9.0,1,5.0,0,0,0,22781.666666666668,0,0,1,0,0,1,0,0,0,1,0
30,68625,31.0,17173,30529,20923,0,10.0,1,4.0,0,0,0,22875.0,1,0,0,0,0,1,0,0,0,1,0
31,68913,32.0,17359,30697,20857,0,11.0,1,3.0,0,0,0,22971.0,1,0,0,0,0,1,0,0,0,1,0
32,68660,33.0,17376,30479,20805,0,12.0,1,3.0,0,0,0,22886.666666666668,0,0,1,0,0,1,0,0,0,1,0
33,68830,34.0,17341,30643,20846,0,13.0,1,3.0,0,0,0,22943.333333333332,0,0,1,0,0,1,0,0,0,1,0
34,68749,35.0,17397,30590,20762,0,14.0,1,3.0,0,0,0,22916.333333333332,0,0,1,0,0,1,0,0,0,1,0
35,68718,36.0,17402,30599,20717,0,15.0,1,3.0,0,0,0,22906.0,0,0,1,0,0,1,0,0,0,1,0
36,68730,37.0,17421,30546,20763,0,16.0,1,3.0,0,0,0,22910.0,0,0,1,0,0,1,0,0,0,1,0
37,68713,38.0,17367,30631,20715,0,17.0,1,3.0,0,0,0,22904.333333333332,0,0,1,0,0,1,0,0,0,1,0
38,68795,39.0,17390,30546,20859,0,18.0,1,3.0,0,0,0,22931.666666666668,0,0,1,0,0,1,0,0,0,1,0
39,68724,40.0,17387,30508,20829,0,19.0,1,3.0,0,0,0,22908.0,0,0,1,0,0,1,0,0,0,1,0
40,68541,41.0,17294,30503,20744,0,20.0,1,3.0,0,0,0,22847.0,0,0,1,0,0,1,0,0,0,1,0
41,68717,42.0,17404,30682,20631,0,21.0,1,3.0,0,0,0,22905.666666666668,0,0,1,0,0,1,0,0,0,1,0
42,68663,43.0,17361,30551,20751,0,22.0,1,3.0,0,0,0,22887.666666666668,0,0,1,0,0,1,0,0,0,1,0
43,68656,44.0,17318,30588,20750,0,23.0,1,3.0,0,0,0,22885.333333333332,0,0,1,0,0,1,0,0,0,1,0
44,68593,45.0,17450,30482,20661,0,24.0,1,3.0,0,0,0,22864.333333333332,0,0,1,0,0,1,0,0,0,1,0
45,68666,46.0,17401,30574,20691,0,25.0,1,3.0,0,0,0,22888.666666666668,0,0,1,0,0,1,0,0,0,1,0
46,69302,47.0,17286,30976,21040,0,26.0,1,3.0,0,0,0,23100.666666666668,0,0,1,0,0,1,0,0,0,1,0
47,68869,48.0,17251,30922,20696,0,27.0,1,3.0,0,0,0,22956.333333333332,0,0,1,0,0,1,0,0,0,0,1
48,69066,49.0,17351,30860,20855,0,28.0,1,3.0,0,0,0,23022.0,0,0,1,0,0,1,0,0,0,0,1
49,73012,50.0,17425,31174,24413,0,29.0,1,4.0,0,1,0,24337.333333333332,0,1,0,0,0,1,0,0,0,0,1
50,85660,51.0,34925,30042,20693,0,1.0,1,5.0,0,0,1,28553.333333333332,0,1,0,1,0,0,0,0,0,0,1
51,68078,52.0,17353,30119,20606,1,2.0,1,5.0,0,0,0,22692.666666666668,0,0,1,1,0,0,0,0,0,0,1
52,67787,53.0,17169,30023,20595,1,3.0,1,5.0,0,0,0,22595.666666666668,0,0,1,1,0,0,0,0,0,0,1
53,68079,54.0,17269,30227,20583,0,4.0,1,5.0,0,0,0,22693.0,0,0,1,1,0,0,0,0,0,0,1
54,68124,55.0,17294,30251,20579,0,5.0,1,5.0,0,0,0,22708.0,0,0,1,1,0,0,0,0,0,0,1
55,67915,56.0,17187,30230,20498,0,6.0,1,5.0,0,0,0,22638.333333333332,0,0,1,1,0,0,0,0,0,0,1
56,67923,57.0,17279,30072,20572,0,7.0,1,5.0,0,0,0,22641.0,0,0,1,1,0,0,0,0,0,0,1
57,67896,58.0,17250,30085,20561,0,8.0,1,5.0,0,0,0,22632.0,0,0,1,1,0,0,0,0,0,0,1
58,68016,59.0,17230,30281,20505,0,9.0,1,5.0,0,0,0,22672.0,0,0,1,1,0,0,0,0,0,0,1
59,67775,60.0,17280,30058,20437,1,10.0,1,5.0,0,0,0,22591.666666666668,0,0,1,1,0,0,0,0,0,0,1
60,68028,61.0,17319,30248,20461,0,11.0,1,5.0,0,0,0,22676.0,0,0,1,1,0,0,0,0,0,0,1
