Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver_1,driver_2,race_bit_0,race_bit_1,race_bit_2,race_bit_3,race_bit_4
0,80816,1.0,25679,24346,30791,0,6.0,0,1.0,0,0,0,26938.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
1,77197,2.0,21737,24530,30930,1,7.0,0,1.0,0,0,0,25732.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
2,76846,3.0,21294,24434,31118,1,8.0,0,1.0,0,0,0,25615.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
3,76833,4.0,21354,24570,30909,1,9.0,0,1.0,0,0,0,25611.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
4,76535,5.0,21235,24433,30867,1,10.0,0,1.0,0,0,0,25511.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
5,76753,6.0,21315,24560,30878,0,11.0,0,1.0,0,0,0,25584.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
6,76654,7.0,21234,24535,30885,0,12.0,0,1.0,0,0,0,25551.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
7,76776,8.0,21286,24628,30862,0,13.0,0,1.0,0,0,0,25592.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
8,76758,9.0,21230,24582,30946,0,14.0,0,1.0,0,0,0,25586.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
9,76747,10.0,21417,24550,30780,0,15.0,0,1.0,0,0,0,25582.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
10,76708,11.0,21347,24564,30797,0,16.0,0,1.0,0,0,0,25569.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
11,77277,12.0,21467,24725,31085,0,17.0,0,1.0,0,0,0,25759.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
12,76878,13.0,21448,24580,30850,0,18.0,0,1.0,0,0,0,25626.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
13,76994,14.0,21468,24654,30872,0,19.0,0,1.0,0,0,0,25664.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
14,76967,15.0,21627,24739,30601,0,20.0,0,1.0,0,0,0,25655.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
15,76799,16.0,21406,24496,30897,0,21.0,0,1.0,0,0,0,25599.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
16,76654,17.0,21391,24589,30674,0,22.0,0,1.0,0,0,0,25551.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
17,77226,18.0,21426,24725,31075,0,23.0,0,1.0,0,0,0,25742.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
18,76730,19.0,21294,24515,30921,0,24.0,0,1.0,0,0,0,25576.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
19,76813,20.0,21281,24706,30826,0,25.0,0,1.0,0,0,0,25604.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
20,77242,21.0,21538,24848,30856,0,26.0,0,1.0,0,0,0,25747.33333333333,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
21,77270,22.0,21553,24758,30959,0,27.0,0,1.0,0,0,0,25756.666666666668,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
22,76833,23.0,21468,24581,30784,0,28.0,0,1.0,0,0,0,25611.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
23,77158,24.0,21378,24867,30913,0,29.0,0,1.0,0,0,0,25719.33333333333,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0,0,1,1,1
24,76925,25.0,21382,24649,30894,0,30.0,0,1.0,0,0,0,25641.666666666668,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0,0,1,1,1
25,93538,26.0,21377,24776,47385,0,31.0,0,3.0,0,1,0,31179.33333333333,0,1,0,0,1,0,0,0,0,1,0,1.0,0.0,0,0,1,1,1
26,78567,27.0,23487,24528,30552,0,1.0,0,3.0,0,0,1,26189.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
27,75333,28.0,20830,24208,30295,1,2.0,0,2.0,0,0,0,25111.0,1,0,0,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
