,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,98086,1.0,38489,33741,25856,0,1.0,1,3.0,0,0,0,32695.333333333332,0,0,1,0,0,0,1,0,1,0,0
1,94796,2.0,35526,33406,25864,1,2.0,1,3.0,0,0,0,31598.666666666668,0,0,1,0,0,0,1,0,1,0,0
2,94866,3.0,35231,33630,26005,0,3.0,1,3.0,0,0,0,31622.0,0,0,1,0,0,0,1,0,1,0,0
3,94740,4.0,35324,33462,25954,1,4.0,1,3.0,0,0,0,31580.0,0,0,1,0,0,0,1,0,1,0,0
4,94779,5.0,35491,33293,25995,0,5.0,1,3.0,0,0,0,31593.0,0,0,1,0,0,0,1,0,1,0,0
5,95049,6.0,35348,33652,26049,0,6.0,1,3.0,0,0,0,31683.0,0,0,1,0,0,0,1,0,1,0,0
6,94846,7.0,35437,33366,26043,0,7.0,1,3.0,0,0,0,31615.333333333332,0,0,1,0,0,0,1,0,1,0,0
7,94673,8.0,35354,33381,25938,1,8.0,1,3.0,0,0,0,31557.666666666668,0,0,1,0,0,0,1,0,1,0,0
8,94652,9.0,35340,33424,25888,1,9.0,1,3.0,0,0,0,31550.666666666668,0,0,1,0,0,0,1,0,1,0,0
9,94946,10.0,35639,33379,25928,0,10.0,1,3.0,0,0,0,31648.666666666668,0,0,1,0,0,0,1,0,1,0,0
10,94232,11.0,35217,33168,25847,1,11.0,1,3.0,0,0,0,31410.666666666668,0,0,1,0,0,0,1,0,1,0,0
11,94479,12.0,35105,33554,25820,0,12.0,1,3.0,0,0,0,31493.0,0,0,1,0,0,0,1,0,1,0,0
12,93872,13.0,35101,33206,25565,1,13.0,1,3.0,0,0,0,31290.666666666668,0,0,1,0,0,0,1,0,1,0,0
13,93825,14.0,35141,33205,25479,1,14.0,1,3.0,0,0,0,31275.0,0,0,1,0,0,0,1,0,1,0,0
14,93548,15.0,35112,33010,25426,1,15.0,1,3.0,0,0,0,31182.666666666668,0,0,1,0,0,0,1,0,1,0,0
15,94149,16.0,35125,32995,26029,0,16.0,1,3.0,0,0,0,31383.0,0,0,1,0,0,0,1,0,1,0,0
16,93349,17.0,34885,32910,25554,1,17.0,1,3.0,0,0,0,31116.333333333332,0,0,1,0,0,0,1,0,1,0,0
17,93332,18.0,35029,32805,25498,1,18.0,1,3.0,0,0,0,31110.666666666668,0,0,1,0,0,0,1,0,1,0,0
18,93223,19.0,34864,32826,25533,1,19.0,1,3.0,0,0,0,31074.333333333332,0,0,1,0,0,0,1,0,1,0,0
19,93258,20.0,34901,32853,25504,0,20.0,1,3.0,0,0,0,31086.0,0,0,1,0,0,0,1,0,1,0,0
20,93541,21.0,35062,33011,25468,0,21.0,1,3.0,0,0,0,31180.333333333332,0,0,1,0,0,0,1,0,0,1,0
21,93472,22.0,35018,32755,25699,0,22.0,1,3.0,0,0,0,31157.333333333332,0,0,1,0,0,0,1,0,0,1,0
22,92981,23.0,34715,32665,25601,1,23.0,1,3.0,0,0,0,30993.666666666668,0,0,1,0,0,0,1,0,0,1,0
23,93516,24.0,34837,32948,25731,0,24.0,1,3.0,0,0,0,31172.0,0,0,1,0,0,0,1,0,0,1,0
24,94302,25.0,34956,33517,25829,0,25.0,1,3.0,0,0,0,31434.0,0,0,1,0,0,0,1,0,0,1,0
25,94569,26.0,35808,33058,25703,0,26.0,1,3.0,0,0,0,31523.0,0,0,1,0,0,0,1,0,0,1,0
26,93570,27.0,35117,32786,25667,0,27.0,1,3.0,0,0,0,31190.0,0,0,1,0,0,0,1,0,0,1,0
27,93825,28.0,35085,32901,25839,0,28.0,1,3.0,0,0,0,31275.0,0,0,1,0,0,0,1,0,0,1,0
28,93748,29.0,35074,32768,25906,0,29.0,1,3.0,0,0,0,31249.333333333332,0,0,1,0,0,0,1,0,0,1,0
29,93922,30.0,35093,32876,25953,0,30.0,1,3.0,0,0,0,31307.333333333332,0,0,1,0,0,0,1,0,0,1,0
30,94125,31.0,35180,33066,25879,0,31.0,1,3.0,0,0,0,31375.0,0,0,1,0,0,0,1,0,0,1,0
31,94823,32.0,35099,32933,26791,0,32.0,1,3.0,0,0,0,31607.666666666668,0,0,1,0,0,0,1,0,0,1,0
32,93828,33.0,35118,32916,25794,0,33.0,1,3.0,0,0,0,31276.0,0,0,1,0,0,0,1,0,0,1,0
33,94199,34.0,35082,33018,26099,0,34.0,1,3.0,0,0,0,31399.666666666668,0,0,1,0,0,0,1,0,0,1,0
34,95106,35.0,35522,33374,26210,0,35.0,1,3.0,0,0,0,31702.0,0,0,1,0,0,0,1,0,0,1,0
35,94362,36.0,35237,32897,26228,0,36.0,1,3.0,0,0,0,31454.0,0,0,1,0,0,0,1,0,0,1,0
36,97807,37.0,35235,32894,29678,0,37.0,1,2.0,0,0,0,32602.333333333332,1,0,0,0,0,0,1,0,0,1,0
37,95924,38.0,36166,33472,26286,0,38.0,1,1.0,0,0,0,31974.666666666668,1,0,0,0,0,0,1,0,0,1,0
38,94472,39.0,35215,32951,26306,0,39.0,1,1.0,0,0,0,31490.666666666668,0,0,1,0,0,0,1,0,0,1,0
39,94582,40.0,35257,32974,26351,0,40.0,1,1.0,0,0,0,31527.333333333332,0,0,1,0,0,0,1,0,0,0,1
40,94410,41.0,35180,32948,26282,0,41.0,1,1.0,0,0,0,31470.0,0,0,1,0,0,0,1,0,0,0,1
41,94538,42.0,35199,33052,26287,0,42.0,1,1.0,0,0,0,31512.666666666668,0,0,1,0,0,0,1,0,0,0,1
42,96054,43.0,35359,33100,27595,0,43.0,1,1.0,0,0,0,32018.0,0,0,1,0,0,0,1,0,0,0,1
43,96551,44.0,35836,33041,27674,0,44.0,1,1.0,0,0,0,32183.666666666668,0,0,1,0,0,0,1,0,0,0,1
