Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver,race_number
0,108811,1.0,33240,30288,45283,0,4.0,0,5.0,0,0,0,36270.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
1,101546,2.0,25993,30255,45298,1,5.0,0,5.0,0,0,0,33848.666666666664,0,0,1,0,1,0,0,0,1,0,0,SAI,7
2,101069,3.0,25718,30287,45064,1,6.0,0,5.0,0,0,0,33689.666666666664,0,0,1,0,1,0,0,0,1,0,0,SAI,7
3,101085,4.0,25661,30189,45235,0,7.0,0,5.0,0,0,0,33695.0,0,0,1,0,1,0,0,0,1,0,0,SAI,7
4,100342,5.0,25495,30175,44672,1,8.0,0,5.0,0,0,0,33447.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
5,99836,6.0,25171,29909,44756,1,9.0,0,5.0,0,0,0,33278.666666666664,0,0,1,0,1,0,0,0,1,0,0,SAI,7
6,100547,7.0,25564,29990,44993,0,10.0,0,5.0,0,0,0,33515.666666666664,0,0,1,0,1,0,0,0,1,0,0,SAI,7
7,100621,8.0,25392,30129,45100,0,11.0,0,5.0,0,0,0,33540.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
8,100779,9.0,25488,30240,45051,0,12.0,0,5.0,0,0,0,33593.0,0,0,1,0,1,0,0,0,1,0,0,SAI,7
9,100712,10.0,25495,29995,45222,0,13.0,0,5.0,0,0,0,33570.666666666664,0,0,1,0,1,0,0,0,1,0,0,SAI,7
10,100798,11.0,25530,30242,45026,0,14.0,0,5.0,0,0,0,33599.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
11,101268,12.0,25520,30394,45354,0,15.0,0,5.0,0,0,0,33756.0,0,0,1,0,1,0,0,0,1,0,0,SAI,7
12,101710,13.0,25767,30185,45758,0,16.0,0,5.0,0,0,0,33903.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
13,101293,14.0,25632,30184,45477,0,17.0,0,5.0,0,0,0,33764.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
14,101620,15.0,25710,30358,45552,0,18.0,0,5.0,0,0,0,33873.333333333336,0,0,1,0,1,0,0,0,1,0,0,SAI,7
15,101040,16.0,25573,30258,45209,0,19.0,0,5.0,0,0,0,33680.0,0,0,1,0,1,0,0,0,1,0,0,SAI,7
16,120880,17.0,25710,30337,64833,0,20.0,0,13.0,0,1,0,40293.333333333336,0,1,0,0,1,0,0,0,1,0,0,SAI,7
17,102990,18.0,28895,29982,44113,0,1.0,1,13.0,0,0,1,34330.0,0,0,1,0,0,1,0,0,1,0,0,SAI,7
18,98931,19.0,24943,29495,44493,1,2.0,1,13.0,0,0,0,32977.0,0,0,1,0,0,1,0,0,0,1,0,SAI,7
19,99593,20.0,24963,29850,44780,0,3.0,1,13.0,0,0,0,33197.666666666664,0,0,1,0,0,1,0,0,0,1,0,SAI,7
20,99751,21.0,25233,29921,44597,0,4.0,1,13.0,0,0,0,33250.333333333336,0,0,1,0,0,1,0,0,0,1,0,SAI,7
21,100295,22.0,25385,29682,45228,0,5.0,1,13.0,0,0,0,33431.666666666664,0,0,1,0,0,1,0,0,0,1,0,SAI,7
22,101280,23.0,26375,29864,45041,0,6.0,1,12.0,0,0,0,33760.0,1,0,0,0,0,1,0,0,0,1,0,SAI,7
23,99971,24.0,25423,29762,44786,0,7.0,1,11.0,0,0,0,33323.666666666664,1,0,0,0,0,1,0,0,0,1,0,SAI,7
24,100117,25.0,25352,29663,45102,0,8.0,1,11.0,0,0,0,33372.333333333336,0,0,1,0,0,1,0,0,0,1,0,SAI,7
25,100381,26.0,25853,29457,45071,0,9.0,1,10.0,0,0,0,33460.333333333336,1,0,0,0,0,1,0,0,0,1,0,SAI,7
26,100212,27.0,25990,29564,44658,0,10.0,1,9.0,0,0,0,33404.0,1,0,0,0,0,1,0,0,0,1,0,SAI,7
27,100192,28.0,25377,29545,45270,0,11.0,1,9.0,0,0,0,33397.333333333336,0,0,1,0,0,1,0,0,0,1,0,SAI,7
28,99859,29.0,25251,29904,44704,0,12.0,1,8.0,0,0,0,33286.333333333336,1,0,0,0,0,1,0,0,0,1,0,SAI,7
29,99878,30.0,25397,30030,44451,0,13.0,1,8.0,0,0,0,33292.666666666664,0,0,1,0,0,1,0,0,0,1,0,SAI,7
30,100693,31.0,25270,30347,45076,0,14.0,1,9.0,0,0,0,33564.333333333336,0,1,0,0,0,1,0,0,0,1,0,SAI,7
31,99676,32.0,25519,29886,44271,0,15.0,1,9.0,0,0,0,33225.333333333336,0,0,1,0,0,1,0,0,0,1,0,SAI,7
32,99169,33.0,25286,29628,44255,0,16.0,1,9.0,0,0,0,33056.333333333336,0,0,1,0,0,1,0,0,0,1,0,SAI,7
33,99542,34.0,25412,29843,44287,0,17.0,1,8.0,0,0,0,33180.666666666664,1,0,0,0,0,1,0,0,0,1,0,SAI,7
34,99673,35.0,25386,29780,44507,0,18.0,1,8.0,0,0,0,33224.333333333336,0,0,1,0,0,1,0,0,0,1,0,SAI,7
35,101853,36.0,25507,30767,45579,0,19.0,1,9.0,0,0,0,33951.0,0,1,0,0,0,1,0,0,0,0,1,SAI,7
36,101578,37.0,26334,30260,44984,0,20.0,1,9.0,0,0,0,33859.333333333336,0,0,1,0,0,1,0,0,0,0,1,SAI,7
37,99884,38.0,25598,30018,44268,0,21.0,1,9.0,0,0,0,33294.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
38,99491,39.0,25185,29937,44369,0,22.0,1,9.0,0,0,0,33163.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
39,99786,40.0,25299,30071,44416,0,23.0,1,9.0,0,0,0,33262.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
40,99572,41.0,25187,29944,44441,0,24.0,1,9.0,0,0,0,33190.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
41,99194,42.0,25042,30026,44126,0,25.0,1,9.0,0,0,0,33064.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
42,98966,43.0,25098,29859,44009,0,26.0,1,9.0,0,0,0,32988.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
43,100766,44.0,25474,30395,44897,0,27.0,1,10.0,0,0,0,33588.666666666664,0,1,0,0,0,1,0,0,0,0,1,SAI,7
44,99338,45.0,25261,29839,44238,0,28.0,1,10.0,0,0,0,33112.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
45,99345,46.0,25148,30097,44100,0,29.0,1,10.0,0,0,0,33115.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
46,99045,47.0,25045,29947,44053,0,30.0,1,10.0,0,0,0,33015.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
