,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,98635,1.0,38502,30386,29747,0,1.0,1,4.0,0,0,0,32878.333333333336,0,0,1,0,1,0,0,0,1,0,0
1,95499,2.0,35605,30217,29677,1,2.0,1,4.0,0,0,0,31833.0,0,0,1,0,1,0,0,0,1,0,0
2,95460,3.0,35341,30263,29856,1,3.0,1,4.0,0,0,0,31820.0,0,0,1,0,1,0,0,0,1,0,0
3,95321,4.0,35164,30400,29757,1,4.0,1,4.0,0,0,0,31773.666666666668,0,0,1,0,1,0,0,0,1,0,0
4,95124,5.0,35177,30268,29679,1,5.0,1,4.0,0,0,0,31708.0,0,0,1,0,1,0,0,0,1,0,0
5,95165,6.0,35159,30432,29574,0,6.0,1,4.0,0,0,0,31721.666666666668,0,0,1,0,1,0,0,0,1,0,0
6,95058,7.0,35091,30253,29714,1,7.0,1,4.0,0,0,0,31686.0,0,0,1,0,1,0,0,0,1,0,0
7,94921,8.0,35056,30313,29552,1,8.0,1,4.0,0,0,0,31640.333333333332,0,0,1,0,1,0,0,0,1,0,0
8,94729,9.0,34919,30192,29618,1,9.0,1,4.0,0,0,0,31576.333333333332,0,0,1,0,1,0,0,0,1,0,0
9,95133,10.0,35015,30311,29807,0,10.0,1,4.0,0,0,0,31711.0,0,0,1,0,1,0,0,0,1,0,0
10,94977,11.0,34950,30248,29779,0,11.0,1,4.0,0,0,0,31659.0,0,0,1,0,1,0,0,0,1,0,0
11,95082,12.0,35062,30268,29752,0,12.0,1,4.0,0,0,0,31694.0,0,0,1,0,1,0,0,0,1,0,0
12,95101,13.0,34969,30328,29804,0,13.0,1,4.0,0,0,0,31700.333333333332,0,0,1,0,1,0,0,0,1,0,0
13,95275,14.0,35028,30443,29804,0,14.0,1,4.0,0,0,0,31758.333333333332,0,0,1,0,1,0,0,0,1,0,0
14,95421,15.0,35034,30483,29904,0,15.0,1,4.0,0,0,0,31807.0,0,0,1,0,1,0,0,0,1,0,0
15,106940,16.0,35102,30521,41317,0,16.0,1,3.0,0,1,0,35646.666666666664,1,0,0,0,1,0,0,0,1,0,0
16,0,17.0,68752,46939,65113,0,1.0,1,4.0,0,0,1,60268.0,0,1,0,0,0,1,0,0,1,0,0
17,0,18.0,54039,48407,57131,0,2.0,1,4.0,0,0,0,53192.333333333336,0,0,1,0,0,1,0,0,0,1,0
18,149065,19.0,52040,46787,50238,0,3.0,1,4.0,0,0,0,49688.333333333336,0,0,1,0,0,1,0,0,0,1,0
19,0,20.0,51047,45116,64831,0,4.0,1,4.0,0,0,0,53664.666666666664,0,0,1,0,0,1,0,0,0,1,0
20,95949,21.0,36201,30227,29521,0,5.0,1,3.0,0,0,0,31983.0,1,0,0,0,0,1,0,0,0,1,0
21,94295,22.0,34837,30042,29416,1,6.0,1,3.0,0,0,0,31431.666666666668,0,0,1,0,0,1,0,0,0,1,0
22,93857,23.0,34643,29984,29230,1,7.0,1,3.0,0,0,0,31285.666666666668,0,0,1,0,0,1,0,0,0,1,0
23,93636,24.0,34514,29852,29270,1,8.0,1,3.0,0,0,0,31212.0,0,0,1,0,0,1,0,0,0,1,0
24,93575,25.0,34465,29846,29264,1,9.0,1,3.0,0,0,0,31191.666666666668,0,0,1,0,0,1,0,0,0,1,0
25,93181,26.0,34229,29751,29201,1,10.0,1,3.0,0,0,0,31060.333333333332,0,0,1,0,0,1,0,0,0,1,0
26,93705,27.0,34681,29803,29221,0,11.0,1,3.0,0,0,0,31235.0,0,0,1,0,0,1,0,0,0,1,0
27,93231,28.0,34308,29627,29296,0,12.0,1,3.0,0,0,0,31077.0,0,0,1,0,0,1,0,0,0,1,0
28,93582,29.0,34486,29799,29297,0,13.0,1,3.0,0,0,0,31194.0,0,0,1,0,0,1,0,0,0,1,0
29,93004,30.0,34176,29680,29148,1,14.0,1,3.0,0,0,0,31001.333333333332,0,0,1,0,0,1,0,0,0,1,0
30,93041,31.0,34223,29653,29165,0,15.0,1,3.0,0,0,0,31013.666666666668,0,0,1,0,0,1,0,0,0,1,0
31,92904,32.0,34173,29635,29096,1,16.0,1,3.0,0,0,0,30968.0,0,0,1,0,0,1,0,0,0,1,0
32,93007,33.0,34147,29656,29204,0,17.0,1,3.0,0,0,0,31002.333333333332,0,0,1,0,0,1,0,0,0,1,0
33,93006,34.0,34155,29659,29192,0,18.0,1,3.0,0,0,0,31002.0,0,0,1,0,0,1,0,0,0,0,1
34,93201,35.0,34505,29611,29085,0,19.0,1,3.0,0,0,0,31067.0,0,0,1,0,0,1,0,0,0,0,1
35,93099,36.0,34153,29720,29226,0,20.0,1,3.0,0,0,0,31033.0,0,0,1,0,0,1,0,0,0,0,1
36,92795,37.0,34016,29423,29356,1,21.0,1,3.0,0,0,0,30931.666666666668,0,0,1,0,0,1,0,0,0,0,1
37,113588,38.0,34018,36026,43544,0,22.0,1,3.0,0,0,0,37862.666666666664,0,0,1,0,0,1,0,0,0,0,1
38,125071,39.0,40538,42672,41861,0,23.0,1,3.0,0,0,0,41690.333333333336,0,0,1,0,0,1,0,0,0,0,1
39,125576,40.0,42353,44325,38898,0,24.0,1,3.0,0,0,0,41858.666666666664,0,0,1,0,0,1,0,0,0,0,1
40,95353,41.0,36496,29680,29177,0,25.0,1,3.0,0,0,0,31784.333333333332,0,0,1,0,0,1,0,0,0,0,1
