,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,81972,1.0,21240,36658,24074,0,4.0,1,2.0,0,0,0,27324.0,0,0,1,1,0,0,0,0,1,0,0
1,78355,2.0,17304,37010,24041,1,4.0,0,2.0,0,0,0,26118.333333333332,0,0,1,1,0,0,0,0,1,0,0
2,78253,3.0,17176,36972,24105,1,5.0,0,2.0,0,0,0,26084.333333333332,0,0,1,1,0,0,0,0,1,0,0
3,78239,4.0,17132,37118,23989,1,6.0,0,2.0,0,0,0,26079.666666666668,0,0,1,1,0,0,0,0,1,0,0
4,78222,5.0,17084,36989,24149,1,7.0,0,2.0,0,0,0,26074.0,0,0,1,1,0,0,0,0,1,0,0
5,78801,6.0,17324,37250,24227,0,8.0,0,2.0,0,0,0,26267.0,0,0,1,1,0,0,0,0,1,0,0
6,78871,7.0,17467,37113,24291,0,9.0,0,2.0,0,0,0,26290.333333333332,0,0,1,1,0,0,0,0,1,0,0
7,78817,8.0,17302,37241,24274,0,10.0,0,2.0,0,0,0,26272.333333333332,0,0,1,1,0,0,0,0,1,0,0
8,78962,9.0,17468,37155,24339,0,11.0,0,2.0,0,0,0,26320.666666666668,0,0,1,1,0,0,0,0,1,0,0
9,78570,10.0,17140,37176,24254,0,12.0,0,2.0,0,0,0,26190.0,0,0,1,1,0,0,0,0,1,0,0
10,78408,11.0,17183,37255,23970,0,13.0,0,2.0,0,0,0,26136.0,0,0,1,1,0,0,0,0,1,0,0
11,78473,12.0,17214,37164,24095,0,14.0,0,2.0,0,0,0,26157.666666666668,0,0,1,1,0,0,0,0,1,0,0
12,78367,13.0,17204,37184,23979,0,15.0,0,2.0,0,0,0,26122.333333333332,0,0,1,1,0,0,0,0,1,0,0
13,78396,14.0,17117,37245,24034,0,16.0,0,2.0,0,0,0,26132.0,0,0,1,1,0,0,0,0,1,0,0
14,78092,15.0,17100,37022,23970,1,17.0,0,2.0,0,0,0,26030.666666666668,0,0,1,1,0,0,0,0,1,0,0
15,78518,16.0,17154,37321,24043,0,18.0,0,2.0,0,0,0,26172.666666666668,0,0,1,1,0,0,0,0,1,0,0
16,78538,17.0,17276,37163,24099,0,19.0,0,2.0,0,0,0,26179.333333333332,0,0,1,1,0,0,0,0,1,0,0
17,78875,18.0,17403,37326,24146,0,20.0,0,2.0,0,0,0,26291.666666666668,0,0,1,1,0,0,0,0,1,0,0
