,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,110683,1.0,31812,41622,37249,0,4.0,0,2.0,0,0,0,36894.333333333336,0,0,1,1,0,0,0,0,1,0,0
1,108666,2.0,29342,42330,36994,1,5.0,0,2.0,0,0,0,36222.0,0,0,1,1,0,0,0,0,1,0,0
2,108806,3.0,29482,42144,37180,0,6.0,0,2.0,0,0,0,36268.666666666664,0,0,1,1,0,0,0,0,1,0,0
3,109082,4.0,29499,42305,37278,0,7.0,0,2.0,0,0,0,36360.666666666664,0,0,1,1,0,0,0,0,1,0,0
4,109560,5.0,28821,42446,38293,0,8.0,0,2.0,0,0,0,36520.0,0,0,1,1,0,0,0,0,1,0,0
5,109759,6.0,29025,42943,37791,0,9.0,0,2.0,0,0,0,36586.333333333336,0,0,1,1,0,0,0,0,1,0,0
6,109179,7.0,29218,42600,37361,0,10.0,0,2.0,0,0,0,36393.0,0,0,1,1,0,0,0,0,1,0,0
7,109607,8.0,28962,42960,37685,0,11.0,0,2.0,0,0,0,36535.666666666664,0,0,1,1,0,0,0,0,1,0,0
8,109937,9.0,29053,43055,37829,0,12.0,0,2.0,0,0,0,36645.666666666664,0,0,1,1,0,0,0,0,1,0,0
9,109744,10.0,29578,42590,37576,0,13.0,0,2.0,0,0,0,36581.333333333336,0,0,1,1,0,0,0,0,1,0,0
10,109566,11.0,29512,42438,37616,0,14.0,0,2.0,0,0,0,36522.0,0,0,1,1,0,0,0,0,1,0,0
11,109078,12.0,29533,42302,37243,0,15.0,0,2.0,0,0,0,36359.333333333336,0,0,1,1,0,0,0,0,1,0,0
12,109147,13.0,29565,42417,37165,0,16.0,0,2.0,0,0,0,36382.333333333336,0,0,1,1,0,0,0,0,1,0,0
13,109177,14.0,29304,42629,37244,0,17.0,0,2.0,0,0,0,36392.333333333336,0,0,1,1,0,0,0,0,1,0,0
14,109087,15.0,29092,42660,37335,0,18.0,0,2.0,0,0,0,36362.333333333336,0,0,1,1,0,0,0,0,1,0,0
15,109230,16.0,29695,42528,37007,0,19.0,0,2.0,0,0,0,36410.0,0,0,1,1,0,0,0,0,1,0,0
16,107428,17.0,29054,41664,36710,1,20.0,0,2.0,0,0,0,35809.333333333336,0,0,1,1,0,0,0,0,1,0,0
17,108573,18.0,29324,42098,37151,0,21.0,0,2.0,0,0,0,36191.0,0,0,1,1,0,0,0,0,1,0,0
18,109348,19.0,29618,42386,37344,0,22.0,0,2.0,0,0,0,36449.333333333336,0,0,1,1,0,0,0,0,1,0,0
19,108943,20.0,29130,42532,37281,0,23.0,0,1.0,0,0,0,36314.333333333336,1,0,0,1,0,0,0,0,1,0,0
20,107085,21.0,28996,41923,36166,1,24.0,0,1.0,0,0,0,35695.0,0,0,1,1,0,0,0,0,0,1,0
21,107306,22.0,29164,41865,36277,0,25.0,0,1.0,0,0,0,35768.666666666664,0,0,1,1,0,0,0,0,0,1,0
22,107969,23.0,29265,42168,36536,0,26.0,0,1.0,0,0,0,35989.666666666664,0,0,1,1,0,0,0,0,0,1,0
23,108831,24.0,29419,42570,36842,0,27.0,0,1.0,0,0,0,36277.0,0,0,1,1,0,0,0,0,0,1,0
24,109181,25.0,29569,42577,37035,0,28.0,0,1.0,0,0,0,36393.666666666664,0,0,1,1,0,0,0,0,0,1,0
25,117640,26.0,29855,42929,44856,0,29.0,0,1.0,0,1,0,39213.333333333336,0,0,1,1,0,0,0,0,0,1,0
26,127490,27.0,49092,41673,36725,0,1.0,1,8.0,0,0,1,42496.666666666664,0,1,0,0,0,1,0,0,0,1,0
27,108315,28.0,29154,42099,37062,0,2.0,1,8.0,0,0,0,36105.0,0,0,1,0,0,1,0,0,0,1,0
28,107750,29.0,28954,41797,36999,0,3.0,1,8.0,0,0,0,35916.666666666664,0,0,1,0,0,1,0,0,0,1,0
29,107364,30.0,28951,41799,36614,0,4.0,1,8.0,0,0,0,35788.0,0,0,1,0,0,1,0,0,0,1,0
30,108815,31.0,28891,42601,37323,0,5.0,1,7.0,0,0,0,36271.666666666664,1,0,0,0,0,1,0,0,0,1,0
31,107345,32.0,28699,41646,37000,0,6.0,1,6.0,0,0,0,35781.666666666664,1,0,0,0,0,1,0,0,0,1,0
32,109723,33.0,29209,43227,37287,0,7.0,1,4.0,0,0,0,36574.333333333336,1,0,0,0,0,1,0,0,0,1,0
33,107774,34.0,29367,41797,36610,0,8.0,1,4.0,0,0,0,35924.666666666664,0,0,1,0,0,1,0,0,0,1,0
34,105495,35.0,28861,40962,35672,1,9.0,1,4.0,0,0,0,35165.0,0,0,1,0,0,1,0,0,0,1,0
35,124779,36.0,28845,41828,54106,0,10.0,1,4.0,0,0,0,41593.0,0,0,1,0,0,1,0,0,0,1,0
36,0,37.0,41099,63132,46550,0,11.0,1,4.0,0,0,0,50260.333333333336,0,0,1,0,0,1,0,0,0,1,0
37,0,38.0,47820,67945,49738,0,12.0,1,4.0,0,0,0,55167.666666666664,0,0,1,0,0,1,0,0,0,1,0
38,0,39.0,43531,66981,56132,0,13.0,1,4.0,0,0,0,55548.0,0,0,1,0,0,1,0,0,0,1,0
39,0,40.0,44106,58101,64955,0,14.0,1,4.0,0,0,0,55720.666666666664,0,0,1,0,0,1,0,0,0,1,0
40,109137,41.0,29585,42450,37102,0,15.0,1,4.0,0,0,0,36379.0,0,0,1,0,0,1,0,0,0,0,1
41,106905,42.0,28798,41782,36325,0,16.0,1,4.0,0,0,0,35635.0,0,0,1,0,0,1,0,0,0,0,1
42,106522,43.0,28696,41460,36366,0,17.0,1,4.0,0,0,0,35507.333333333336,0,0,1,0,0,1,0,0,0,0,1
