,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,97854,1.0,34360,18880,44614,0,1.0,1,2.0,0,0,0,32618.0,0,0,1,0,1,0,0,0,1,0,0
1,133298,2.0,49471,31958,51869,1,2.0,1,1.0,0,0,0,44432.666666666664,1,0,0,0,1,0,0,0,1,0,0
2,132017,3.0,46537,29752,55728,1,3.0,1,1.0,0,0,0,44005.666666666664,0,0,1,0,1,0,0,0,1,0,0
3,83134,4.0,28739,18727,35668,1,4.0,1,1.0,0,0,0,27711.333333333332,0,0,1,0,1,0,0,0,1,0,0
4,83134,5.0,28855,18712,35567,0,5.0,1,1.0,0,0,0,27711.333333333332,0,0,1,0,1,0,0,0,1,0,0
5,83159,6.0,28666,18685,35808,0,6.0,1,1.0,0,0,0,27719.666666666668,0,0,1,0,1,0,0,0,1,0,0
6,107537,7.0,28604,18608,60325,0,7.0,1,7.0,0,1,0,35845.666666666664,0,1,0,0,1,0,0,0,0,1,0
7,0,8.0,46829,44031,-90860,0,1.0,1,7.0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,1,0
8,0,9.0,42335,54255,-96590,0,2.0,0,6.0,0,0,1,0.0,1,0,0,0,0,1,0,0,0,1,0
9,89218,10.0,33632,18904,36682,0,3.0,0,5.0,0,0,0,29739.333333333332,1,0,0,0,0,1,0,0,0,1,0
10,84617,11.0,29386,19158,36073,0,4.0,0,5.0,0,0,0,28205.666666666668,0,0,1,0,0,1,0,0,0,1,0
11,83169,12.0,29026,18246,35897,0,5.0,0,5.0,0,0,0,27723.0,0,0,1,0,0,1,0,0,0,1,0
12,83705,13.0,29030,18207,36468,0,6.0,0,4.0,0,0,0,27901.666666666668,1,0,0,0,0,1,0,0,0,0,1
13,83073,14.0,28680,18521,35872,1,7.0,0,4.0,0,0,0,27691.0,0,0,1,0,0,1,0,0,0,0,1
14,83079,15.0,28823,18486,35770,0,8.0,0,4.0,0,0,0,27693.0,0,0,1,0,0,1,0,0,0,0,1
15,82680,16.0,28733,18436,35511,1,9.0,0,4.0,0,0,0,27560.0,0,0,1,0,0,1,0,0,0,0,1
16,94488,17.0,28790,18410,47288,0,10.0,0,14.0,0,0,0,31496.0,0,1,0,0,0,1,0,0,0,0,1
17,0,18.0,0,0,0,0,11.0,0,,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,1
