,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,104160,1.0,40911,44722,18527,0,1.0,1,14.0,0,0,0,34720.0,0,0,1,1,0,0,0,0,1,0,0
1,97527,2.0,35459,43671,18397,1,1.0,1,11.0,0,0,0,32509.0,1,0,0,1,0,0,0,0,1,0,0
2,97516,3.0,35382,43752,18382,1,2.0,1,10.0,0,0,0,32505.333333333332,1,0,0,1,0,0,0,0,1,0,0
3,131695,4.0,51264,52195,28236,0,3.0,1,10.0,0,0,0,43898.333333333336,0,0,1,1,0,0,0,0,1,0,0
4,141810,5.0,51753,62087,27970,0,4.0,1,10.0,0,0,0,47270.0,0,0,1,1,0,0,0,0,1,0,0
5,149106,6.0,58298,63409,27399,0,5.0,1,10.0,0,0,0,49702.0,0,0,1,1,0,0,0,0,1,0,0
6,141070,7.0,52810,66562,21698,0,6.0,1,10.0,0,0,0,47023.333333333336,0,0,1,1,0,0,0,0,1,0,0
7,98473,8.0,36105,43448,18920,0,7.0,1,9.0,0,0,0,32824.333333333336,1,0,0,1,0,0,0,0,1,0,0
8,96753,9.0,34962,43252,18539,1,8.0,1,8.0,0,0,0,32251.0,1,0,0,1,0,0,0,0,1,0,0
9,96810,10.0,35084,43244,18482,0,9.0,1,8.0,0,0,0,32270.0,0,0,1,1,0,0,0,0,1,0,0
10,96883,11.0,35058,43083,18742,0,10.0,1,7.0,0,0,0,32294.333333333332,1,0,0,1,0,0,0,0,1,0,0
11,96362,12.0,34461,43255,18646,1,11.0,1,7.0,0,0,0,32120.666666666668,0,0,1,1,0,0,0,0,1,0,0
12,95632,13.0,34096,43277,18259,1,12.0,1,5.0,0,0,0,31877.333333333332,1,0,0,1,0,0,0,0,1,0,0
13,94754,14.0,34001,42448,18305,1,13.0,1,5.0,0,0,0,31584.666666666668,0,0,1,1,0,0,0,0,1,0,0
