,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,145016,1.0,42688,62315,40013,0,1.0,1,14.0,0,0,0,48338.666666666664,0,0,1,0,1,0,0,0,1,0,0
1,0,2.0,62449,51515,43619,0,2.0,1,12.0,0,0,0,52527.666666666664,1,0,0,0,1,0,0,0,1,0,0
2,0,3.0,55857,55763,41711,0,3.0,1,12.0,0,0,0,51110.333333333336,0,0,1,0,1,0,0,0,1,0,0
3,104367,4.0,36933,36384,31050,1,4.0,1,12.0,0,0,0,34789.0,0,0,1,0,1,0,0,0,1,0,0
4,103504,5.0,36649,36087,30768,1,5.0,1,12.0,0,0,0,34501.333333333336,0,0,1,0,1,0,0,0,1,0,0
5,104107,6.0,36623,35895,31589,0,6.0,1,12.0,0,0,0,34702.333333333336,0,0,1,0,1,0,0,0,1,0,0
6,103034,7.0,36717,35555,30762,1,7.0,1,12.0,0,0,0,34344.666666666664,0,0,1,0,1,0,0,0,1,0,0
7,102330,8.0,36259,35513,30558,1,8.0,1,12.0,0,0,0,34110.0,0,0,1,0,1,0,0,0,1,0,0
8,102092,9.0,36244,35607,30241,1,9.0,1,12.0,0,0,0,34030.666666666664,0,0,1,0,1,0,0,0,1,0,0
9,102053,10.0,36254,35232,30567,1,10.0,1,12.0,0,0,0,34017.666666666664,0,0,1,0,1,0,0,0,1,0,0
10,101835,11.0,36191,35098,30546,1,11.0,1,12.0,0,0,0,33945.0,0,0,1,0,1,0,0,0,1,0,0
11,101930,12.0,36346,35166,30418,0,12.0,1,12.0,0,0,0,33976.666666666664,0,0,1,0,1,0,0,0,1,0,0
12,101802,13.0,36095,35113,30594,1,13.0,1,12.0,0,0,0,33934.0,0,0,1,0,1,0,0,0,1,0,0
13,101709,14.0,36178,35203,30328,1,14.0,1,12.0,0,0,0,33903.0,0,0,1,0,1,0,0,0,1,0,0
14,101444,15.0,36086,35134,30224,1,15.0,1,12.0,0,0,0,33814.666666666664,0,0,1,0,1,0,0,0,1,0,0
15,101709,16.0,36370,35415,29924,0,16.0,1,12.0,0,0,0,33903.0,0,0,1,0,1,0,0,0,1,0,0
16,101373,17.0,36288,35116,29969,1,17.0,1,11.0,0,0,0,33791.0,1,0,0,0,1,0,0,0,1,0,0
17,101469,18.0,36219,35126,30124,0,18.0,1,11.0,0,0,0,33823.0,0,0,1,0,1,0,0,0,1,0,0
18,101592,19.0,36461,35089,30042,0,19.0,1,11.0,0,0,0,33864.0,0,0,1,0,1,0,0,0,0,1,0
19,100952,20.0,36240,35102,29610,1,20.0,1,11.0,0,0,0,33650.666666666664,0,0,1,0,1,0,0,0,0,1,0
20,100927,21.0,36331,34939,29657,1,21.0,1,10.0,0,0,0,33642.333333333336,1,0,0,0,1,0,0,0,0,1,0
21,100695,22.0,36142,34973,29580,1,22.0,1,9.0,0,0,0,33565.0,1,0,0,0,1,0,0,0,0,1,0
