,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,104121,1.0,28810,41606,33705,0,4.0,0,3.0,0,0,0,34707.0,0,0,1,0,1,0,0,0,1,0,0
1,102284,2.0,27723,40795,33766,1,5.0,0,3.0,0,0,0,34094.666666666664,0,0,1,0,1,0,0,0,1,0,0
2,101373,3.0,27401,40692,33280,1,6.0,0,3.0,0,0,0,33791.0,0,0,1,0,1,0,0,0,1,0,0
3,101388,4.0,27450,40592,33346,0,7.0,0,3.0,0,0,0,33796.0,0,0,1,0,1,0,0,0,1,0,0
4,101604,5.0,27449,40807,33348,0,8.0,0,3.0,0,0,0,33868.0,0,0,1,0,1,0,0,0,1,0,0
5,102040,6.0,27613,40903,33524,0,9.0,0,3.0,0,0,0,34013.333333333336,0,0,1,0,1,0,0,0,1,0,0
6,101608,7.0,27451,40695,33462,0,10.0,0,3.0,0,0,0,33869.333333333336,0,0,1,0,1,0,0,0,1,0,0
7,102247,8.0,27457,41089,33701,0,11.0,0,3.0,0,0,0,34082.333333333336,0,0,1,0,1,0,0,0,1,0,0
8,102181,9.0,27585,41148,33448,0,12.0,0,3.0,0,0,0,34060.333333333336,0,0,1,0,1,0,0,0,1,0,0
9,102049,10.0,27599,40841,33609,0,13.0,0,3.0,0,0,0,34016.333333333336,0,0,1,0,1,0,0,0,1,0,0
10,102269,11.0,27588,41053,33628,0,14.0,0,2.0,0,0,0,34089.666666666664,1,0,0,0,1,0,0,0,1,0,0
11,103229,12.0,27640,41339,34250,0,15.0,0,2.0,0,1,0,34409.666666666664,0,0,1,0,1,0,0,0,1,0,0
12,121373,13.0,48175,40494,32704,0,4.0,0,3.0,1,0,1,40457.666666666664,0,1,0,0,1,0,0,0,1,0,0
13,100287,14.0,27081,40251,32955,1,5.0,0,3.0,0,0,0,33429.0,0,0,1,0,1,0,0,0,1,0,0
14,100889,15.0,27220,40524,33145,0,6.0,0,3.0,0,0,0,33629.666666666664,0,0,1,0,1,0,0,0,1,0,0
15,101070,16.0,27186,40783,33101,0,7.0,0,3.0,0,0,0,33690.0,0,0,1,0,1,0,0,0,1,0,0
16,101032,17.0,27268,40830,32934,0,8.0,0,3.0,0,0,0,33677.333333333336,0,0,1,0,1,0,0,0,1,0,0
