Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver_1,driver_2,race_bit_0,race_bit_1,race_bit_2,race_bit_3,race_bit_4
0,106339,1.0,31847,29563,44929,0,4.0,0,2.0,0,0,0,35446.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
1,99613,2.0,25323,29545,44745,1,5.0,0,2.0,0,0,0,33204.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
2,99571,3.0,25417,29755,44399,1,6.0,0,2.0,0,0,0,33190.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
3,100024,4.0,25489,29675,44860,0,7.0,0,2.0,0,0,0,33341.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
4,99408,5.0,25362,29678,44368,1,8.0,0,2.0,0,0,0,33136.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
5,98727,6.0,25092,29444,44191,1,9.0,0,2.0,0,0,0,32909.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
6,99430,7.0,25114,29546,44770,0,10.0,0,2.0,0,0,0,33143.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
7,99059,8.0,25185,29680,44194,0,11.0,0,2.0,0,0,0,33019.666666666664,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
8,99122,9.0,25138,29609,44375,0,12.0,0,2.0,0,0,0,33040.666666666664,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
9,98950,10.0,25213,29475,44262,0,13.0,0,2.0,0,0,0,32983.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
10,99214,11.0,25393,29588,44233,0,14.0,0,2.0,0,0,0,33071.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
11,99307,12.0,25513,29606,44188,0,15.0,0,2.0,0,0,0,33102.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
12,99214,13.0,25408,29617,44189,0,16.0,0,2.0,0,0,0,33071.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
13,99015,14.0,25203,29548,44264,0,17.0,0,2.0,0,0,0,33005.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
14,100297,15.0,25841,29729,44727,0,18.0,0,2.0,0,0,0,33432.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
15,99199,16.0,25117,29553,44529,0,19.0,0,2.0,0,0,0,33066.333333333336,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
16,99246,17.0,25417,29650,44179,0,20.0,0,2.0,0,0,0,33082.0,0,0,1,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
17,118099,18.0,25158,29720,63221,0,21.0,0,3.0,0,1,0,39366.333333333336,0,1,0,0,1,0,0,0,1,0,0,1.0,0.0,0,0,1,1,1
18,99966,19.0,28054,29066,42846,0,1.0,1,3.0,0,0,1,33322.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
19,97776,20.0,24861,29052,43863,1,2.0,1,2.0,0,0,0,32592.0,1,0,0,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
20,97516,21.0,24755,29186,43575,1,3.0,1,2.0,0,0,0,32505.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
21,97052,22.0,24727,29093,43232,1,4.0,1,2.0,0,0,0,32350.666666666668,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
22,98086,23.0,24832,29220,44034,0,5.0,1,2.0,0,0,0,32695.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
23,97915,24.0,24946,29323,43646,0,6.0,1,1.0,0,0,0,32638.33333333333,1,0,0,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
24,97706,25.0,24854,29422,43430,0,7.0,1,1.0,0,0,0,32568.666666666668,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
25,98278,26.0,25123,29329,43826,0,8.0,1,1.0,0,0,0,32759.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
26,97727,27.0,24991,29085,43651,0,9.0,1,1.0,0,0,0,32575.666666666668,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
27,97657,28.0,24882,29237,43538,0,10.0,1,1.0,0,0,0,32552.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
28,98040,29.0,24847,29186,44007,0,11.0,1,1.0,0,0,0,32680.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
29,97833,30.0,24883,29378,43572,0,12.0,1,1.0,0,0,0,32611.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
30,97844,31.0,24983,29454,43407,0,13.0,1,1.0,0,0,0,32614.666666666668,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
31,116764,32.0,24776,29083,62905,0,14.0,1,4.0,0,1,0,38921.333333333336,0,1,0,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
32,100458,33.0,28492,29056,42910,0,4.0,0,4.0,0,0,1,33486.0,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0,0,1,1,1
33,96743,34.0,24720,28885,43138,1,5.0,0,4.0,0,0,0,32247.666666666668,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0,0,1,1,1
34,96404,35.0,24512,28969,42923,1,6.0,0,3.0,0,0,0,32134.666666666668,1,0,0,0,1,0,0,0,0,1,0,1.0,0.0,0,0,1,1,1
35,96579,36.0,24649,29030,42900,0,7.0,0,3.0,0,0,0,32193.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
36,96582,37.0,24617,29047,42918,0,8.0,0,3.0,0,0,0,32194.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
37,96863,38.0,24744,29194,42925,0,9.0,0,3.0,0,0,0,32287.666666666668,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
38,96973,39.0,24685,29062,43226,0,10.0,0,3.0,0,0,0,32324.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
39,97033,40.0,24511,29112,43410,0,11.0,0,3.0,0,0,0,32344.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
40,97081,41.0,24879,28994,43208,0,12.0,0,3.0,0,0,0,32360.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
41,96849,42.0,24589,28995,43265,0,13.0,0,3.0,0,0,0,32283.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
42,97092,43.0,24515,29047,43530,0,14.0,0,3.0,0,0,0,32364.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
43,97450,44.0,24673,29355,43422,0,15.0,0,2.0,0,0,0,32483.33333333333,1,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
44,97129,45.0,24695,29173,43261,0,16.0,0,2.0,0,0,0,32376.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
45,97558,46.0,24784,29227,43547,0,17.0,0,2.0,0,0,0,32519.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
46,97627,47.0,24993,29226,43408,0,18.0,0,2.0,0,0,0,32542.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
47,97459,48.0,24842,29254,43363,0,19.0,0,2.0,0,0,0,32486.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
48,97430,49.0,24887,29087,43456,0,20.0,0,2.0,0,0,0,32476.666666666668,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
49,96968,50.0,24570,29086,43312,0,21.0,0,2.0,0,0,0,32322.666666666668,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
50,97413,51.0,24620,29125,43668,0,22.0,0,2.0,0,0,0,32471.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
51,96942,52.0,24964,29006,42972,0,23.0,0,1.0,0,0,0,32314.0,1,0,0,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
52,97143,53.0,24532,29210,43401,0,24.0,0,1.0,0,0,0,32381.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0,0,1,1,1
0,108257,1.0,32733,30032,45492,0,4.0,0,4.0,0,0,0,36085.66666666666,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
1,100612,2.0,25559,29898,45155,1,5.0,0,4.0,0,0,0,33537.333333333336,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
2,100549,3.0,25774,30160,44615,1,6.0,0,4.0,0,0,0,33516.333333333336,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
3,100419,4.0,25546,29971,44902,1,7.0,0,4.0,0,0,0,33473.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
4,99998,5.0,25591,30001,44406,1,8.0,0,4.0,0,0,0,33332.666666666664,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
5,99240,6.0,25256,29588,44396,1,9.0,0,4.0,0,0,0,33080.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
6,99665,7.0,25241,29673,44751,0,10.0,0,4.0,0,0,0,33221.666666666664,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
7,99072,8.0,25289,29631,44152,1,11.0,0,4.0,0,0,0,33024.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
8,99305,9.0,25276,29656,44373,0,12.0,0,4.0,0,0,0,33101.666666666664,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
9,99151,10.0,25101,29481,44569,0,13.0,0,4.0,0,0,0,33050.333333333336,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
10,99303,11.0,25345,29685,44273,0,14.0,0,4.0,0,0,0,33101.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
11,99318,12.0,25488,29709,44121,0,15.0,0,4.0,0,0,0,33106.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
12,99189,13.0,25344,29650,44195,0,16.0,0,4.0,0,0,0,33063.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
13,99370,14.0,25220,29552,44598,0,17.0,0,4.0,0,0,0,33123.333333333336,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
14,100487,15.0,25522,29744,45221,0,18.0,0,4.0,0,0,0,33495.666666666664,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
15,99773,16.0,25433,29681,44659,0,19.0,0,4.0,0,0,0,33257.666666666664,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
16,99364,17.0,25357,29681,44326,0,20.0,0,3.0,0,0,0,33121.333333333336,1,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
17,99338,18.0,25325,29586,44427,0,21.0,0,2.0,0,0,0,33112.666666666664,1,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
18,99149,19.0,25292,29620,44237,0,22.0,0,1.0,0,0,0,33049.666666666664,1,0,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,1,1,1
19,99520,20.0,25230,29768,44522,0,23.0,0,1.0,0,0,0,33173.333333333336,0,0,1,0,1,0,0,0,0,1,0,0.0,1.0,0,0,1,1,1
20,99310,21.0,25340,29713,44257,0,24.0,0,1.0,0,0,0,33103.333333333336,0,0,1,0,1,0,0,0,0,1,0,0.0,1.0,0,0,1,1,1
21,99698,22.0,25868,29712,44118,0,25.0,0,1.0,0,0,0,33232.666666666664,0,0,1,0,1,0,0,0,0,1,0,0.0,1.0,0,0,1,1,1
22,99100,23.0,25443,29665,43992,0,26.0,0,1.0,0,0,0,33033.333333333336,0,0,1,0,1,0,0,0,0,1,0,0.0,1.0,0,0,1,1,1
23,118410,24.0,25413,29768,63229,0,27.0,0,4.0,0,1,0,39470.0,0,1,0,0,1,0,0,0,0,1,0,0.0,1.0,0,0,1,1,1
24,101545,25.0,28904,29647,42994,0,1.0,1,4.0,0,0,1,33848.333333333336,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
25,97404,26.0,24731,29384,43289,1,2.0,1,4.0,0,0,0,32468.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
26,97229,27.0,24801,29217,43211,1,3.0,1,4.0,0,0,0,32409.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
27,97674,28.0,24652,29471,43551,0,4.0,1,4.0,0,0,0,32558.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
28,98056,29.0,24814,29461,43781,0,5.0,1,4.0,0,0,0,32685.33333333333,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
29,97917,30.0,24942,29558,43417,0,6.0,1,4.0,0,0,0,32639.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
30,98280,31.0,25264,29650,43366,0,7.0,1,4.0,0,0,0,32760.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
31,97801,32.0,25144,29445,43212,0,8.0,1,3.0,0,0,0,32600.33333333333,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
32,98075,33.0,25064,29521,43490,0,9.0,1,3.0,0,0,0,32691.666666666668,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
33,97827,34.0,25327,29324,43176,0,10.0,1,3.0,0,0,0,32609.0,0,0,1,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
34,99396,35.0,25025,29394,44977,0,11.0,1,4.0,0,0,0,33132.0,0,1,0,0,0,1,0,0,0,1,0,0.0,1.0,0,0,1,1,1
35,97886,36.0,25262,29326,43298,0,12.0,1,4.0,0,0,0,32628.666666666668,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
36,97395,37.0,25013,29346,43036,0,13.0,1,4.0,0,0,0,32465.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
37,97154,38.0,24941,29209,43004,1,14.0,1,4.0,0,0,0,32384.666666666668,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
38,97239,39.0,24821,29260,43158,0,15.0,1,4.0,0,0,0,32413.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
39,97355,40.0,24667,29215,43473,0,16.0,1,4.0,0,0,0,32451.666666666668,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
40,97351,41.0,24816,29408,43127,0,17.0,1,4.0,0,0,0,32450.33333333333,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
41,97332,42.0,24928,29240,43164,0,18.0,1,4.0,0,0,0,32444.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
42,97129,43.0,24837,29230,43062,1,19.0,1,4.0,0,0,0,32376.33333333333,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
43,97161,44.0,24927,29087,43147,0,20.0,1,4.0,0,0,0,32387.0,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
44,97111,45.0,24921,29125,43065,1,21.0,1,4.0,0,0,0,32370.33333333333,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
45,97876,46.0,24886,29326,43664,0,22.0,1,4.0,0,0,0,32625.33333333333,0,0,1,0,0,1,0,0,0,0,1,0.0,1.0,0,0,1,1,1
