Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver,race_number
0,156498,1.0,59604,64033,32861,0,1.0,1,4.0,0,0,1,52166.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
1,142614,2.0,35053,65095,42466,1,2.0,1,4.0,0,0,0,47538.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
2,105603,3.0,28867,48671,28065,1,3.0,1,4.0,0,0,0,35201.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
3,101426,4.0,27463,46871,27092,1,4.0,1,4.0,0,0,0,33808.666666666664,0,0,1,0,0,0,1,0,1,0,0,VER,7
4,100918,5.0,27345,46573,27000,1,5.0,1,4.0,0,0,0,33639.333333333336,0,0,1,0,0,0,1,0,1,0,0,VER,7
5,98151,6.0,26371,45570,26210,1,6.0,1,4.0,0,0,0,32717.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
6,98028,7.0,26098,45609,26321,1,7.0,1,4.0,0,0,0,32676.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
7,97715,8.0,25906,45622,26187,1,8.0,1,4.0,0,0,0,32571.666666666668,0,0,1,0,0,0,1,0,1,0,0,VER,7
8,96951,9.0,25430,45147,26374,1,9.0,1,4.0,0,0,0,32317.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
9,96834,10.0,25577,45204,26053,1,10.0,1,4.0,0,0,0,32278.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
10,95808,11.0,25319,44492,25997,1,11.0,1,4.0,0,0,0,31936.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
11,95414,12.0,25364,44093,25957,1,12.0,1,4.0,0,0,0,31804.666666666668,0,0,1,0,0,0,1,0,1,0,0,VER,7
12,94257,13.0,24759,43724,25774,1,13.0,1,4.0,0,0,0,31419.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
13,94031,14.0,24639,43352,26040,1,14.0,1,4.0,0,0,0,31343.666666666668,0,0,1,0,0,0,1,0,1,0,0,VER,7
14,92702,15.0,24337,42682,25683,1,15.0,1,4.0,0,0,0,30900.666666666668,0,0,1,0,0,0,1,0,1,0,0,VER,7
15,92113,16.0,24122,42338,25653,1,16.0,1,3.0,0,0,0,30704.33333333333,1,0,0,0,0,0,1,0,1,0,0,VER,7
16,91380,17.0,24014,41932,25434,1,17.0,1,3.0,0,0,0,30460.0,0,0,1,0,0,0,1,0,1,0,0,VER,7
17,109118,18.0,23804,41666,43648,0,18.0,1,4.0,0,1,0,36372.66666666666,0,1,0,0,0,0,1,0,1,0,0,VER,7
18,88667,19.0,25860,38743,24064,0,19.0,1,4.0,0,0,1,29555.666666666668,0,0,1,0,0,0,1,0,1,0,0,VER,7
19,84805,20.0,22439,39129,23237,1,20.0,1,4.0,0,0,0,28268.33333333333,0,0,1,0,0,0,1,0,1,0,0,VER,7
20,87259,21.0,23973,40035,23251,0,21.0,1,2.0,0,0,0,29086.33333333333,1,0,0,0,0,0,1,0,1,0,0,VER,7
21,104688,22.0,22655,39830,42203,0,22.0,1,3.0,0,1,0,34896.0,0,1,0,0,0,0,1,0,1,0,0,VER,7
22,91284,23.0,27396,39639,24249,0,1.0,1,3.0,0,0,1,30428.0,0,0,1,0,0,1,0,0,0,1,0,VER,7
23,84584,24.0,23747,38667,22170,1,2.0,1,3.0,0,0,0,28194.666666666668,0,0,1,0,0,1,0,0,0,1,0,VER,7
24,82965,25.0,22529,38363,22073,1,3.0,1,3.0,0,0,0,27655.0,0,0,1,0,0,1,0,0,0,1,0,VER,7
25,82674,26.0,21477,37557,23640,1,4.0,1,3.0,0,0,0,27558.0,0,0,1,0,0,1,0,0,0,1,0,VER,7
26,120175,27.0,35356,51287,33532,0,5.0,1,3.0,0,0,0,40058.333333333336,0,0,1,0,0,1,0,0,0,1,0,VER,7
27,126222,28.0,34001,54156,38065,0,6.0,1,3.0,0,0,0,42074.0,0,0,1,0,0,1,0,0,0,1,0,VER,7
28,118806,29.0,31646,50391,36769,0,7.0,1,3.0,0,0,0,39602.0,0,0,1,0,0,1,0,0,0,1,0,VER,7
29,0,30.0,30058,54424,-84482,0,8.0,1,3.0,0,1,0,0.0,0,0,1,0,0,1,0,0,0,1,0,VER,7
30,0,31.0,50295,69034,35329,0,1.0,1,3.0,0,0,1,51552.66666666666,0,0,1,0,1,0,0,0,0,1,0,VER,7
31,122493,32.0,36579,53806,32107,0,2.0,1,3.0,0,0,0,40830.66666666666,0,0,1,0,1,0,0,0,0,1,0,VER,7
32,83603,33.0,22732,38542,22329,0,3.0,1,3.0,0,0,0,27867.666666666668,0,0,1,0,1,0,0,0,0,1,0,VER,7
33,81169,34.0,21835,37554,21780,1,4.0,1,3.0,0,0,0,27056.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
34,79850,35.0,21217,37086,21547,1,5.0,1,3.0,0,0,0,26616.666666666668,0,0,1,0,1,0,0,0,0,1,0,VER,7
35,79018,36.0,21234,36773,21011,1,6.0,1,3.0,0,0,0,26339.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
36,78481,37.0,20816,36688,20977,1,7.0,1,3.0,0,0,0,26160.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
37,77542,38.0,20673,36156,20713,1,8.0,1,3.0,0,0,0,25847.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
38,77044,39.0,20343,36173,20528,1,9.0,1,3.0,0,0,0,25681.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
39,76543,40.0,20349,35869,20325,1,10.0,1,3.0,0,0,0,25514.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
40,76273,41.0,20207,35747,20319,1,11.0,1,3.0,0,0,0,25424.33333333333,0,0,1,0,1,0,0,0,0,1,0,VER,7
41,76962,42.0,20309,36203,20450,0,12.0,1,3.0,0,0,0,25654.0,0,0,1,0,1,0,0,0,0,1,0,VER,7
42,77426,43.0,20587,36252,20587,0,13.0,1,3.0,0,0,0,25808.666666666668,0,0,1,0,1,0,0,0,0,1,0,VER,7
43,77092,44.0,20382,36099,20611,0,14.0,1,3.0,0,0,0,25697.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
44,76761,45.0,20336,35963,20462,0,15.0,1,3.0,0,0,0,25587.0,0,0,1,0,1,0,0,0,0,0,1,VER,7
45,76758,46.0,20410,36020,20328,0,16.0,1,3.0,0,0,0,25586.0,0,0,1,0,1,0,0,0,0,0,1,VER,7
46,76052,47.0,20213,35724,20115,1,17.0,1,3.0,0,0,0,25350.666666666668,0,0,1,0,1,0,0,0,0,0,1,VER,7
47,76195,48.0,20072,35838,20285,0,18.0,1,3.0,0,0,0,25398.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
48,76906,49.0,20408,36077,20421,0,19.0,1,3.0,0,0,0,25635.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
49,76832,50.0,20325,35995,20512,0,20.0,1,3.0,0,0,0,25610.666666666668,0,0,1,0,1,0,0,0,0,0,1,VER,7
50,77503,51.0,20463,36395,20645,0,21.0,1,3.0,0,0,0,25834.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
51,77241,52.0,20395,36280,20566,0,22.0,1,3.0,0,0,0,25747.0,0,0,1,0,1,0,0,0,0,0,1,VER,7
52,77668,53.0,20492,36491,20685,0,23.0,1,3.0,0,0,0,25889.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
53,77692,54.0,20530,36502,20660,0,24.0,1,3.0,0,0,0,25897.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
54,78227,55.0,20556,36812,20859,0,25.0,1,3.0,0,0,0,26075.666666666668,0,0,1,0,1,0,0,0,0,0,1,VER,7
55,78731,56.0,20610,37110,21011,0,26.0,1,3.0,0,0,0,26243.666666666668,0,0,1,0,1,0,0,0,0,0,1,VER,7
56,78916,57.0,21251,36833,20832,0,27.0,1,3.0,0,0,0,26305.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
57,79150,58.0,20628,37465,21057,0,28.0,1,3.0,0,0,0,26383.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
58,79015,59.0,20771,37470,20774,0,29.0,1,3.0,0,0,0,26338.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
59,78670,60.0,20596,37186,20888,0,30.0,1,3.0,0,0,0,26223.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
60,78904,61.0,20781,37259,20864,0,31.0,1,3.0,0,0,0,26301.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
61,78123,62.0,20807,36739,20577,0,32.0,1,3.0,0,0,0,26041.0,0,0,1,0,1,0,0,0,0,0,1,VER,7
62,77768,63.0,20495,36719,20554,0,33.0,1,3.0,0,0,0,25922.666666666668,0,0,1,0,1,0,0,0,0,0,1,VER,7
63,77965,64.0,20537,36749,20679,0,34.0,1,3.0,0,0,0,25988.33333333333,0,0,1,0,1,0,0,0,0,0,1,VER,7
0,155297,1.0,57729,62877,34691,0,1.0,1,3.0,0,0,1,51765.66666666666,0,0,1,0,0,0,1,0,1,0,0,PER,7
1,143143,2.0,35097,64135,43911,1,2.0,1,3.0,0,0,0,47714.333333333336,0,0,1,0,0,0,1,0,1,0,0,PER,7
2,104570,3.0,28244,48546,27780,1,3.0,1,3.0,0,0,0,34856.666666666664,0,0,1,0,0,0,1,0,1,0,0,PER,7
3,102377,4.0,27351,47512,27514,1,4.0,1,3.0,0,0,0,34125.666666666664,0,0,1,0,0,0,1,0,1,0,0,PER,7
4,100229,5.0,27101,46748,26380,1,5.0,1,3.0,0,0,0,33409.666666666664,0,0,1,0,0,0,1,0,1,0,0,PER,7
5,98270,6.0,26095,46103,26072,1,6.0,1,3.0,0,0,0,32756.666666666668,0,0,1,0,0,0,1,0,1,0,0,PER,7
6,98134,7.0,26094,45815,26225,1,7.0,1,3.0,0,0,0,32711.33333333333,0,0,1,0,0,0,1,0,1,0,0,PER,7
7,97285,8.0,25793,45657,25835,1,8.0,1,3.0,0,0,0,32428.33333333333,0,0,1,0,0,0,1,0,1,0,0,PER,7
8,96854,9.0,25221,45535,26098,1,9.0,1,3.0,0,0,0,32284.666666666668,0,0,1,0,0,0,1,0,1,0,0,PER,7
9,96883,10.0,25570,45326,25987,0,10.0,1,3.0,0,0,0,32294.33333333333,0,0,1,0,0,0,1,0,1,0,0,PER,7
10,95987,11.0,25291,44854,25842,1,11.0,1,3.0,0,0,0,31995.666666666668,0,0,1,0,0,0,1,0,1,0,0,PER,7
11,95597,12.0,24891,44583,26123,1,12.0,1,3.0,0,0,0,31865.666666666668,0,0,1,0,0,0,1,0,1,0,0,PER,7
12,94104,13.0,24785,43507,25812,1,13.0,1,3.0,0,0,0,31368.0,0,0,1,0,0,0,1,0,1,0,0,PER,7
13,93245,14.0,24589,43157,25499,1,14.0,1,3.0,0,0,0,31081.666666666668,0,0,1,0,0,0,1,0,1,0,0,PER,7
14,92815,15.0,24494,42810,25511,1,15.0,1,3.0,0,0,0,30938.33333333333,0,0,1,0,0,0,1,0,1,0,0,PER,7
15,108107,16.0,24602,42400,41105,0,16.0,1,5.0,0,1,0,36035.66666666666,0,1,0,0,0,0,1,0,1,0,0,PER,7
16,92141,17.0,26453,40873,24815,0,17.0,1,4.0,0,0,1,30713.666666666668,1,0,0,0,0,0,1,0,1,0,0,PER,7
17,85215,18.0,22905,39175,23135,1,18.0,1,2.0,0,0,0,28405.0,1,0,0,0,0,0,1,0,1,0,0,PER,7
18,86966,19.0,23017,39913,24036,0,19.0,1,2.0,0,0,0,28988.666666666668,0,0,1,0,0,0,1,0,1,0,0,PER,7
19,88792,20.0,23553,40944,24295,0,20.0,1,2.0,0,0,0,29597.33333333333,0,0,1,0,0,0,1,0,1,0,0,PER,7
20,89371,21.0,24009,41100,24262,0,21.0,1,1.0,0,0,0,29790.33333333333,1,0,0,0,0,0,1,0,1,0,0,PER,7
21,103440,22.0,23052,40434,39954,0,22.0,1,1.0,0,1,0,34480.0,0,0,1,0,0,0,1,0,1,0,0,PER,7
22,94149,23.0,27208,41328,25613,0,1.0,1,1.0,0,0,1,31383.0,0,0,1,0,0,1,0,0,0,1,0,PER,7
