,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,83080,1.0,26718,25105,31257,0,1.0,1,1.0,0,0,0,27693.333333333332,0,0,1,0,1,0,0,0,1,0,0
1,78075,2.0,21686,25051,31338,1,2.0,1,1.0,0,0,0,26025.0,0,0,1,0,1,0,0,0,1,0,0
2,77767,3.0,21626,24909,31232,1,3.0,1,1.0,0,0,0,25922.333333333332,0,0,1,0,1,0,0,0,1,0,0
3,77203,4.0,21438,24716,31049,1,4.0,1,1.0,0,0,0,25734.333333333332,0,0,1,0,1,0,0,0,1,0,0
4,77371,5.0,21493,24718,31160,0,5.0,1,1.0,0,0,0,25790.333333333332,0,0,1,0,1,0,0,0,1,0,0
5,77607,6.0,21609,24763,31235,0,6.0,1,1.0,0,0,0,25869.0,0,0,1,0,1,0,0,0,1,0,0
6,77565,7.0,21600,24770,31195,0,7.0,1,1.0,0,0,0,25855.0,0,0,1,0,1,0,0,0,1,0,0
7,92655,8.0,28067,33169,31419,0,8.0,1,1.0,0,0,0,30885.0,0,0,1,0,1,0,0,0,1,0,0
8,77495,9.0,21715,24787,30993,0,9.0,1,1.0,0,0,0,25831.666666666668,0,0,1,0,1,0,0,0,1,0,0
9,77359,10.0,21577,24746,31036,0,10.0,1,1.0,0,0,0,25786.333333333332,0,0,1,0,1,0,0,0,1,0,0
10,77268,11.0,21555,24680,31033,0,11.0,1,1.0,0,0,0,25756.0,0,0,1,0,1,0,0,0,1,0,0
11,93192,12.0,21533,24637,47022,0,12.0,1,1.0,0,1,0,31064.0,0,0,1,0,1,0,0,0,1,0,0
12,149911,13.0,42511,56572,50828,0,1.0,1,1.0,0,0,1,49970.333333333336,0,0,1,0,0,1,0,0,1,0,0
13,124639,14.0,33840,46037,44762,0,2.0,1,1.0,0,0,0,41546.333333333336,0,0,1,0,0,1,0,0,1,0,0
14,114677,15.0,31311,40750,42616,0,3.0,1,1.0,0,0,0,38225.666666666664,0,0,1,0,0,1,0,0,1,0,0
15,134905,16.0,30652,35302,68951,0,4.0,1,1.0,0,0,0,44968.333333333336,0,0,1,0,0,1,0,0,1,0,0
