antecedents,consequents,support,confidence,lift,leverage
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Medium'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_High'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector3Time_Sector3Time_Medium'})",0.25,1.0,4.0,0.1875
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector3Time_Sector3Time_Medium'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})",0.25,1.0,4.0,0.1875
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_High'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Medium'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionGained_PositionGained_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionGained_PositionGained_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionLost_PositionLost_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionLost_PositionLost_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionUnchanged_PositionUnchanged_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionUnchanged_PositionUnchanged_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'HighFuelLoad_HighFuelLoad_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'HighFuelLoad_HighFuelLoad_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_High'})",0.25,1.0,4.0,0.1875
